stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,11,0,0,0,1,0,1,2,6,2
 24-34,0,0,0,0,0.82,1.64,7.39,0,0,0.82,0,0.82,0,0,4.93,0,0.82,74.7,0.82,0.82,1.64,0,0,0,0,13.95,9.85
 36-46,0,0,0,0,0,0,18.53,0,0,4.83,0,0,0,0,1.61,0,0.81,58.81,0,0,0,0,0,0.81,0,13.7,2.42
 48-58,0,0,0,0,0.57,0,36.72,0,0,14.92,0,0,0,0.57,6.89,0,1.72,87.22,0,0,0,0,0,2.3,0,13.2,4.02
 60-70,0,0,0,0,1.96,0,18.65,0.98,0,11.78,0,0,0,0,4.91,0,0,70.67,0,0,0,0,0,0,0,6.87,1.96
 72-82,0,0,0,0,0.98,0,14.72,0,0,11.78,0,0.98,0.98,0,7.85,0,0.98,23.56,0,0.98,0,0,0,0,0,1.96,3.93
 84-94,0,0,0,0,0,0,11.68,0,1.06,6.37,0,1.06,0,1.06,6.37,0,2.12,27.61,0,0,0,0,0,0,0,2.12,3.19
 96-106,0,0,1.09,0,4.37,0,5.46,0,0,5.46,1.09,0,0,1.09,3.28,0,0,14.21,0,1.09,0,0,0,1.09,0,0,4.37
108-118,0,0,0,0,2.3,0,8.43,0,0.77,5.36,0,1.53,2.3,1.53,5.36,0.77,0.77,13.79,0,0.77,0.77,0,0.77,0,0,0,0.77
120,0,0,0,0,0,1.96,13.72,0,0,0,0,0,0,1.96,1.96,0,1.96,17.64,0,1.96,0,0,0,0,0,0,0
