stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,3,4,0,0,0,5,0,0,0,0,0,2,0,5,38,1,1,0,1,0,0,0,1,1,0,4,29,0,0,0,0
 24-34,0,0,0,4.1,0,9.03,0,0,0,0,0,0,0,0,0,4.93,0,2.46,98.5,0,2.46,1.64,0,0,0,0,0,0,0.82,0.82,34.48,0,0,0.82,0
 36-46,0,0,0,0,3.22,51.56,0,0,0.81,3.22,0,0,0,0,0,4.03,0,3.22,145.83,0,1.61,0.81,0,0,0,0,0,0,0,0,37.06,0,0,4.03,0
 48-58,0,0,0,0.57,2.87,248.46,0,0.57,0,7.46,0,0,0.57,0,0,9.75,0,1.15,110.17,0,0.57,0,0,0,0,0,0,0,0,0,28.12,0,0,0,0
 60-70,0,0,0,0,7.85,923.61,0,0,0,4.91,0.98,0.98,0,0,0.98,8.83,0.98,1.96,96.19,0,0.98,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0
 72-82,0,0,0,3.93,15.71,924.73,0,0,0,6.87,0.98,0.98,0.98,0,0,20.61,0.98,1.96,85.4,0,0,0.98,0,0,0,0,0,0.98,0,0,12.76,0.98,0,2.94,0
 84-94,0,0,1.06,7.43,14.87,883.62,1.06,1.06,2.12,11.68,2.12,2.12,4.25,2.12,0,14.87,0,2.12,50.98,0,1.06,0,0,0,0,0,0,0,0,0,9.56,0,0,2.12,1.06
 96-106,0,0,0,9.84,19.67,500.52,0,0,3.28,4.37,0,0,0,0,0,14.21,2.19,0,27.32,0,2.19,0,0,1.09,0,0,0,0,0,0,4.37,0,1.09,2.19,1.09
108-118,0,0,0,0.77,13.02,337.79,0,0.77,0.77,1.53,2.3,0.77,3.83,0,0.77,8.43,0,0.77,43.66,0,0.77,0,0,0,0.77,0,0,0.77,0,0,3.06,0.77,0,2.3,0
120,0,0,0,3.92,13.72,276.33,0,1.96,0,1.96,1.96,0,0,1.96,1.96,11.76,0,0,33.32,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0
