stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,5,73,12,0,71,0,0,0,17,1,1,0,2,0,0,0,0,37,0,0,30,612,16,4,5,13,0,35,35,1,2,27,128,0,0,0,0,0
 24-34,0,1.64,3.28,49.25,2.46,0,235.59,0,0.82,0,17.24,0.82,3.28,0.82,1.64,0.82,2.46,0,3.28,134.62,0,1.64,34.48,1216.51,4.93,5.75,13.13,0,0,32.83,0,3.28,0.82,3.28,208.5,0,0,24.63,0,4.1
 36-46,0,0,0.81,16.92,0,0,241.7,0,2.42,0,4.83,0.81,0,0.81,0,0.81,0,0.81,0,64.45,0,0.81,17.72,432.64,0.81,2.42,3.22,0,0,12.09,0,0,0,0,78.96,0,0,8.06,0,0
 48-58,0.57,0,0,25.82,0,0,509.54,0,0,1.15,35,1.72,0,1.15,1.72,0.57,1.72,1.15,0,140.01,0,3.44,17.79,628.32,2.3,2.3,4.02,0,0,4.59,0,1.15,0,0,86.64,0,0,3.44,0,0
 60-70,0.98,0,0,23.56,0.98,0,243.42,0,0.98,0.98,31.41,1.96,0.98,0.98,0,0,1.96,0,0,74.6,0,2.94,13.74,249.31,2.94,1.96,1.96,0,0,3.93,0,0,0,0,27.48,0,0.98,1.96,0,0
 72-82,0,0,0,14.72,0.98,0,138.41,0.98,0.98,3.93,41.23,5.89,0.98,1.96,1.96,0.98,0.98,0,0,82.46,0.98,3.93,8.83,258.18,0,1.96,3.93,0,1.96,0.98,0,0,0,0,12.76,1.96,0,8.83,0,0
 84-94,0,0,0,20.18,0,0,69.03,0,1.06,1.06,16.99,4.25,0,2.12,1.06,0,0,0,0,64.78,2.12,2.12,10.62,81.78,1.06,0,1.06,0,1.06,6.37,0,0,0,0,7.43,2.12,0,7.43,0,0
 96-106,0,0,0,9.84,0,0,53.55,0,0,0,17.49,4.37,0,6.56,2.19,0,2.19,0,0,30.6,0,2.19,5.46,136.61,2.19,2.19,2.19,0,0,5.46,0,0,0,0,5.46,0,1.09,4.37,1.09,0
108-118,0,0,0,6.13,1.53,1.53,45.96,0,0,1.53,13.02,2.3,1.53,0,2.3,0.77,0,0.77,0,13.79,0,3.06,2.3,108.77,2.3,1.53,1.53,0,0,3.06,0,0,0,0,0.77,1.53,0,0,0,0
120,0,0,0,7.84,1.96,0,66.63,0,1.96,0,15.68,5.88,0,5.88,0,0,0,0,0,15.68,0,0,7.84,123.47,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,0,5.88,0,0
