stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,49.95,0,0,0,18.4,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,18,0,0,0,0,2,3,1,7,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,5.75,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,3.28,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,8.06,0,0,0.81,4.03,0,0,0.81,11.28,0,0.81,0.81,0,0.81,0,0,4.83,0,0,0
 48-58,0,0,1.15,0,0,4.59,0,1.15,1.15,0,0,0,19.51,0,0,0.57,4.02,0,0,1.72,6.89,0,0,0,0,2.87,0,0,4.02,2.87,0,0.57
 60-70,0,0,0.98,0,0,3.93,0.98,0,0,0,0,0,14.72,0,0,0.98,8.83,0.98,0,0,6.87,0,0,0,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,2.94,0,0,5.89,0,0.98,1.96,0,0,0,42.21,0,0,0,10.8,0,0.98,2.94,7.85,0,0,0.98,0,6.87,0,0,1.96,2.94,0,0
 84-94,1.06,0,0,0,0,2.12,1.06,1.06,2.12,1.06,0,1.06,53.1,0,0,0,9.56,0,0,1.06,7.43,0,0,1.06,0,5.31,0,0,0,2.12,1.06,0
 96-106,0,0,5.46,0,0,1.09,2.19,0,1.09,0,0,1.09,57.92,0,0,0,10.93,0,0,0,9.84,0,0,1.09,0,27.32,0,0,0,3.28,0,1.09
108-118,0,0,1.53,0.77,0.77,0.77,0.77,0,1.53,2.3,0,0.77,53.62,0.77,0.77,0,4.6,0,0,0.77,10.72,0.77,0,0.77,0,15.32,0,0,0,3.06,0.77,0.77
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,50.95,0,1.96,1.96,7.84,0,0,0,15.68,0,0,0,0,39.2,0,0,0,5.88,0,0
