stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,10,1,0,0,0,1,0,0,0,1,31,0,0,0,0,0
 24-34,0,0,3.28,1.64,1.64,0,0,6.57,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0.82,0,0,2.46,230.66,3.28,11.49,0,0,0,0,0,0,0,0,137.08,0,0,4.1,0,0
 36-46,0,0,2.42,0,0.81,0,0,16.11,0,0,0,5.64,0,0,0.81,0,0,3.22,0,0.81,1.61,8.86,0.81,0,0.81,627.62,0.81,18.53,2.42,0,0,0,0,3.22,0,0,186.92,0,0,0,0,0
 48-58,0,0,1.72,0,1.15,0,0,69.43,0.57,0.57,0,14.35,0,0,0,1.15,0,2.3,0,0,1.15,23.53,0.57,0.57,1.72,584.71,2.87,13.2,2.87,0,0,1.72,0,0,0,0,119.93,0,0,1.15,0,0
 60-70,0,0,0.98,0,0.98,0,0,333.72,0,0,0,33.37,1.96,0,0.98,0.98,0,13.74,1.96,1.96,0,44.17,0,0.98,1.96,915.76,1.96,16.69,4.91,0,0,2.94,0,0,0,0,95.21,0,0.98,0.98,3.93,0
 72-82,0,0,5.89,0,10.8,5.89,0,791.22,0,1.96,1.96,62.83,0.98,0,0.98,7.85,0.98,8.83,2.94,0,0.98,84.42,0,5.89,2.94,1085.72,1.96,29.45,9.82,0,0.98,2.94,0,2.94,0,0,91.29,1.96,2.94,2.94,18.65,0.98
 84-94,1.06,0,11.68,0,25.49,3.19,0,531.02,0,0,0,41.42,10.62,0,0,11.68,0,22.3,4.25,2.12,0,62.66,1.06,8.5,2.12,642.53,0,26.55,13.81,0,0,3.19,0,2.12,0,0,58.41,1.06,3.19,5.31,26.55,0
 96-106,0,0,9.84,0,13.11,3.28,1.09,582.49,1.09,2.19,0,71.04,10.93,0,1.09,12.02,0,32.79,7.65,4.37,1.09,68.85,0,2.19,4.37,586.86,2.19,33.88,17.49,0,1.09,10.93,1.09,2.19,1.09,0,38.25,2.19,3.28,4.37,32.79,2.19
108-118,0,0,11.49,0.77,13.79,2.3,0,472.6,0,0.77,0.77,74.3,7.66,0,1.53,8.43,0.77,36,6.89,6.13,0.77,63.57,0.77,1.53,3.83,612.77,1.53,27.57,18.38,0,2.3,6.13,0,5.36,0,0,26.81,1.53,0.77,0.77,18.38,1.53
120,0,0,9.8,0,5.88,1.96,1.96,460.55,1.96,0,0,80.35,7.84,0,1.96,9.8,1.96,11.76,3.92,9.8,0,52.91,0,0,0,885.82,1.96,23.52,11.76,0,3.92,0,0,3.92,1.96,0,50.95,1.96,3.92,3.92,15.68,1.96
