stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,20,1,1,0,0,0,13,0,0,0
 24-34,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,83.73,0,0.82,0.82,0,0,22.98,0,0,0
 36-46,0,0,2.42,0,1.61,0,3.22,0,0,0,0,0,0,1.61,0,210.28,0,0,0,0,0,41.09,0,0,0
 48-58,0,0,2.87,0,9.18,0,13.77,0,0,0,0.57,0,0,2.87,0.57,330.51,0,1.72,0,0,0,31.56,0,0.57,0.57
 60-70,0,0,1.96,0,14.72,0,12.76,0,0,0,0,0,0,6.87,0,380.83,0,0.98,0.98,0,0,33.37,0,0,0
 72-82,0,0,0.98,0,25.52,0,6.87,0,0.98,0,0,0.98,0,6.87,0,480.03,0,0,0.98,0,0.98,38.28,0,0,0
 84-94,0,0,3.19,0,13.81,1.06,7.43,0,0,0,0,0,0,6.37,2.12,201.79,0,0,2.12,2.12,0,10.62,0,0,0
 96-106,0,0,4.37,0,24.04,0,5.46,1.09,0,0,0,0,0,8.74,0,179.23,0,0,3.28,1.09,0,5.46,0,0,0
108-118,0,0,5.36,0.77,12.26,0,5.36,0,0.77,1.53,0,0,0,4.6,0.77,162.38,0,0,2.3,2.3,0,4.6,0.77,0,0
120,0,0,3.92,0,13.72,1.96,5.88,0,0,0,0,1.96,1.96,3.92,0,156.78,0,0,3.92,0,0,0,0,0,0
