stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,34.62,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.33,31.47,0,0,125.88,0,0,6.29,0,3.15,0,31.47,0,0,0,0
 14-21,1,0,1,6,113,3,5,0,0,0,204,19,2,1,2,0,0,7,0,5,1,0,2,384,51,1,0,20,0,3,0,8,0,13,2852,0,1,0,0
 24-34,0,0,0.82,0,24.63,0.82,17.24,0,0,1.64,229.02,0.82,0,0.82,0.82,0.82,0.82,2.46,1.64,11.49,1.64,0,11.49,487.59,4.93,2.46,0.82,0,0,2.46,0,0,2.46,3.28,1863.34,0,4.1,0,0
 36-46,0,0,0,0.81,0.81,0.81,21.75,0.81,0,4.03,98.29,0,0,0,0,0,0,1.61,0,12.89,0,0.81,14.5,333.55,0.81,4.03,0,0,0,0,0,0,0,0,1270.54,0,4.83,0,0.81
 48-58,0,0,0,0,1.72,0,33.85,0.57,0,2.87,97.55,0,0,0,0,0,0,1.15,0,19.51,0,0,9.18,163.53,0,1.72,0,0,0,2.3,0,0,0,0,753.98,0,2.87,0,0.57
 60-70,0,0,0,0,0.98,0,24.54,0,0,1.96,92.26,0,0,0,0,0,0,0,0,22.58,0,0,11.78,69.69,0,2.94,0,0,0.98,0,0,0,0,0,233.6,0,0,0,1.96
 72-82,0,0,1.96,0,2.94,0,18.65,0.98,0,4.91,198.3,0.98,0,0,0,0,0,0,0,36.32,0,0.98,5.89,68.72,0,1.96,0,0,0,0,0,0,0,0,113.87,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,28.68,0,0,1.06,135.94,0,0,1.06,1.06,0,0,0,0,23.36,0,0,9.56,47.79,0,3.19,0,0,1.06,0,0,0,0,0,112.58,1.06,3.19,1.06,0
 96-106,0,0,0,0,2.19,1.09,20.76,0,0,2.19,127.86,0,0,2.19,0,0,0,0,0,32.79,0,0,2.19,30.6,0,5.46,1.09,0,0,1.09,0,0,0,0,86.33,0,1.09,2.19,0
108-118,0,0,0.77,0,3.83,0,15.32,0,0.77,0.77,129.45,0,0,0.77,1.53,0,0,0,0,23.74,0,0,2.3,32.17,0,2.3,0,0,0,0,0,0,0,0,56.68,0,2.3,1.53,0
120,0,0,0,0,3.92,0,1.96,0,1.96,0,64.67,0,0,1.96,0,0,0,0,0,11.76,0,0,1.96,33.32,0,1.96,0,0,0,0,0,0,0,0,50.95,0,1.96,0,0
