stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,14.78,0,0.82,0,0,0,0,3.28,0,0
 36-46,0.81,0,3.22,0,0,0,0,0,0,1.61,0,0,0,11.28,0.81,1.61,0,0,0,0,3.22,0.81,0
 48-58,0,0,3.44,0.57,0,2.3,0,0,0,3.44,0,0,0.57,13.2,0,0.57,0,0,0,0,1.72,0.57,0
 60-70,0,0,4.91,0,0,1.96,0,0.98,0,2.94,0.98,0,0,23.56,0,0.98,0,0,0.98,0,2.94,0,0
 72-82,0,0.98,9.82,0,0.98,0.98,0.98,0,0,9.82,0,0.98,0,20.61,0,0,0.98,0,0,0,0,0,0
 84-94,0,1.06,8.5,0,1.06,1.06,1.06,0,1.06,3.19,0,0,1.06,11.68,0,0,1.06,1.06,0,0,0,1.06,0
 96-106,0,0,3.28,0,0,0,1.09,0,0,4.37,0,0,0,10.93,1.09,7.65,0,1.09,0,0,0,0,1.09
108-118,1.53,0.77,3.06,0,0.77,1.53,0.77,0,0,3.06,0,0,0,8.43,0,2.3,0.77,0,0,0,0,0.77,0
120,0,0,3.92,0,0,1.96,1.96,0,0,3.92,0,0,0,15.68,1.96,1.96,0,0,0,0,0,0,0
