stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,2,0,0,7,6,0,1,0,0
 24-34,0,0,5.75,0.82,0,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0.82,0,6.57,0.82,0,5.75,28.73,0,1.64,0,0,14.78,0,0,0.82,2.46,0,14.78,0,9.85,0,0
 36-46,0.81,0,0,0,3.22,0,0.81,0,2.42,0,0,0.81,0,0,0,0.81,0,0,8.86,0.81,0.81,2.42,14.5,0,0.81,0,0,18.53,0.81,0,0.81,0,0,6.45,0,2.42,0,0.81
 48-58,0,0,1.15,0,4.02,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,1.15,6.89,0,0,0,0,6.31,0,0,0,0.57,0,3.44,0,0.57,0,0.57
 60-70,0,0,1.96,0,7.85,0,0.98,0.98,9.82,0,0,0.98,0,0,0,0,0,0,6.87,0,0,1.96,7.85,0.98,0,0,0.98,7.85,0,0,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,4.91,0,0.98,0,15.71,0,0.98,0.98,0,0,0.98,0,0,0,10.8,0,0,1.96,5.89,0,0,0,0,3.93,0,0,0.98,0,0,1.96,0,3.93,0.98,3.93
 84-94,0,0,4.25,0,2.12,0,1.06,1.06,11.68,2.12,1.06,0,1.06,0,0,0,0,0,3.19,1.06,1.06,0,7.43,2.12,0,0,0,18.05,0,0,2.12,0,0,2.12,0,0,2.12,8.5
 96-106,0,0,9.84,1.09,4.37,0,1.09,2.19,17.49,2.19,0,1.09,1.09,0,2.19,1.09,0,0,15.3,2.19,1.09,4.37,8.74,6.56,2.19,0,1.09,13.11,0,0,0,0,0,0,0,4.37,0,4.37
108-118,1.53,0,4.6,0,6.13,1.53,3.83,0,20.68,4.6,0,0,0,3.06,5.36,0,0,0.77,17.62,0.77,1.53,5.36,12.26,3.83,2.3,0,0,9.19,0,0,0,0,0,1.53,0,6.89,0,6.89
120,0,0,7.84,1.96,3.92,0,1.96,1.96,1.96,1.96,0,0,1.96,0,3.92,0,0,1.96,23.52,0,0,5.88,9.8,3.92,1.96,0,0,11.76,0,0,0,1.96,0,0,1.96,9.8,0,3.92
