stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,1,1,1,0,0,0,0,0,1,36,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,7.39,0,0,2.46,0,0,0,0,0,0,0,0,0.82,4.1,0,0,2.46,247.9,0,5.75,0.82,0,0,0.82,0,0,0.82,87.83,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,17.72,0,0.81,7.25,0,0,0,0,0.81,0,0,0,0.81,4.03,0.81,0,3.22,525.3,0,7.25,0,0,0,1.61,0,0,0,108.77,0,0,3.22,0,0
 48-58,0,0,0.57,0,0.57,0,0,35.58,0,0,18.36,0,0.57,0,0,0,0,0,0,1.72,10.9,0,0,1.72,566.35,0,6.31,1.15,0,0,1.15,0,0,0,92.38,0,0,2.87,0,1.15
 60-70,0,0,0,0,0.98,0,0,138.39,0.98,0,36.32,0,0,0.98,0.98,0,0,0,0.98,0,14.72,0,0,2.94,848.03,0,4.91,0.98,0,0,0,0,0,0,103.06,0,0.98,3.93,0,0
 72-82,0,0,0,0,3.93,0.98,0,175.72,0.98,3.93,53.99,0,0,0,0.98,0,0,0,0,0,29.45,0.98,0,0.98,720.54,0,9.82,1.96,0,0.98,0,0,0,0,53.01,0,0.98,6.87,0,0
 84-94,0,0,0,0,5.31,2.12,0,117.89,0,0,25.49,0,0,1.06,4.25,2.12,4.25,1.06,0,1.06,10.62,2.12,0,2.12,377.02,0,2.12,2.12,0,0,2.12,0,0,0,30.8,0,1.06,6.37,2.12,0
 96-106,0,0,1.09,0,2.19,2.19,1.09,77.59,0,0,44.81,2.19,0,1.09,4.37,0,1.09,0,0,0,9.84,1.09,1.09,2.19,251.35,0,10.93,4.37,0,0,4.37,1.09,0,0,8.74,0,0,6.56,1.09,0
108-118,0,0,0,0,3.83,0,0,84.26,0,1.53,24.51,0,0,0,2.3,1.53,1.53,0,0.77,0,6.13,0,0,0.77,283.41,0,3.83,0.77,0,0,0,0,0.77,0,7.66,0.77,0.77,4.6,0,0
120,0,0,0,0,3.92,0,0,78.39,0,0,29.4,0,0,1.96,3.92,0,1.96,0,0,0,9.8,0,1.96,1.96,368.44,0,7.84,0,0,0,0,0,0,0,7.84,0,0,3.92,0,0
