stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,0,0,0,0,1,10,0,0,1,14,0,0,0,0,3,3,6,2,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0.82,0.82,0,12.31,0,0,4.93,5.75,0,0,0,0,8.21,0,0,1.64,0,1.64,0
 36-46,0,0,0.81,0,2.42,0,0,0,3.22,0,0,16.11,0,0,1.61,8.06,0,0,0,0,5.64,0.81,0,1.61,0,0.81,0
 48-58,0,0,0.57,0,2.3,1.15,0,0,0,0,0,26.97,0,0,1.72,6.89,0,0,0,0,4.59,0,0,1.15,0,0.57,0
 60-70,0,0,1.96,0,2.94,0.98,0,0,0.98,0,0,32.39,0.98,0,4.91,3.93,0,0.98,0,0,2.94,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,0,1.96,0,3.93,0,0,25.52,0,0,2.94,4.91,0,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,3.19,0,1.06,0,0,8.5,0,1.06,2.12,7.43,0,0,0,0,19.12,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,2.19,1.09,2.19,0,0,9.84,1.09,0,3.28,5.46,0,0,0,0,14.21,0,0,0,0,1.09,0
108-118,0,0,2.3,0,0,0,2.3,0.77,0,3.06,0.77,12.26,0.77,0.77,1.53,3.83,0,0,0,0.77,10.72,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,5.88,0,0,1.96,0,5.88,0,1.96,3.92,5.88,0,0,0,0,5.88,0,0,0,0,1.96,0
