stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,13.14,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,44.06,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.14,91.26,0,0,94.41,0,0,6.29,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,29,71,5,0,10,0,1,0,21,4,0,0,0,1,0,0,1,85,0,0,228,170,36,1,2,4,0,4,2,14,19,0,78,187,0,0,4,0,0
 24-34,0,0,1.64,4.1,67.31,0,0,22.16,0,6.57,16.42,39.4,1.64,0,0.82,0,3.28,0,2.46,1.64,513.86,0,0.82,541.77,248.72,10.67,2.46,1.64,0,1.64,16.42,0,2.46,15.6,0.82,14.78,254.47,0,0,13.13,0,0
 36-46,0,0,0,0,8.86,0,0,12.89,0.81,0,44.31,12.09,0,0,1.61,0,0,0.81,0,0.81,820.17,0.81,6.45,358.52,136.96,0.81,2.42,2.42,0,1.61,10.47,0,0,5.64,0.81,0,104.74,0,1.61,8.06,0,0.81
 48-58,0.57,0,0,0,4.59,0,0,22.95,0.57,0,61.4,7.46,0.57,0,0.57,0.57,0,0,1.15,0,976.62,1.15,13.77,258.21,95.83,0.57,0.57,2.87,0,0.57,4.59,0,0,1.15,0,0,71.15,0,1.15,1.15,1.15,0.57
 60-70,0,0,0,0,6.87,0,0,24.54,0.98,0.98,49.08,0.98,0,0,1.96,0.98,0.98,0.98,1.96,0.98,1085.56,0.98,14.72,159.01,64.78,0,0.98,1.96,0,8.83,5.89,0,0,3.93,0,0,28.46,0,3.93,1.96,0,0
 72-82,0,0,0,0,0.98,0,0,65.77,1.96,2.94,99.15,14.72,0.98,0,2.94,0,1.96,0.98,0.98,0,1332.12,0.98,14.72,189.46,74.61,0,3.93,6.87,0.98,16.69,6.87,0,0,0,0,0,20.61,0.98,14.72,5.89,6.87,0
 84-94,0,0,0,0,9.56,0,0,81.78,0,2.12,64.78,14.87,0,0,3.19,1.06,1.06,2.12,1.06,1.06,938.84,0,18.05,150.81,56.29,0,2.12,1.06,0,13.81,10.62,0,0,2.12,0,0,15.93,0,13.81,1.06,7.43,0
 96-106,0,0,0,0,9.84,1.09,0,42.62,2.19,0,52.46,10.93,2.19,0,6.56,0,1.09,0,1.09,2.19,808.71,1.09,12.02,103.82,54.64,0,9.84,6.56,0,14.21,12.02,0,0,2.19,0,0,8.74,0,8.74,1.09,5.46,0
108-118,0,0,0,0.77,9.19,0,0.77,22.98,0,5.36,48.26,9.19,0.77,0,2.3,0.77,0.77,0,0.77,3.06,711.58,0,6.13,109.53,62.04,0,1.53,8.43,0,23.74,9.96,0,0,3.83,0,0,5.36,0.77,0.77,2.3,0.77,0
120,0,0,0,0,7.84,0,0,9.8,0,0,37.24,3.92,5.88,0,5.88,1.96,0,0,0,1.96,419.39,1.96,1.96,97.99,48.99,0,0,1.96,0,21.56,9.8,0,0,7.84,0,0,0,0,3.92,0,1.96,0
