stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,taste,vasculature
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,37.76,0,0,0,0
 36-46,0,0,0,7.25,0,1.61,0,0,0,0,0,0.81,0,0,0,0,2.42,0,10.47,0,0,0,50.76,0,0,0,0
 48-58,0,0,0,14.92,2.3,2.3,0.57,0.57,0,0,0.57,0.57,0,0.57,0,1.15,7.46,0,12.05,0,0.57,0.57,57.38,0,0.57,0,0
 60-70,0,0,0,23.56,0.98,7.85,0,0.98,0.98,0,0,0.98,0,0,0,0,4.91,0,4.91,0,0,0,53,0,0,0,0
 72-82,0,0,0,21.6,1.96,2.94,0,0,0,0,0,1.96,0,0,0,0,7.85,0,6.87,0.98,1.96,0,95.22,0,0,0,0
 84-94,0,0,0,44.61,1.06,20.18,0,0,1.06,0,0,4.25,0,2.12,0,1.06,12.74,0,4.25,1.06,1.06,0,255.95,0,0,0,0
 96-106,0,0,0,30.6,2.19,9.84,0,2.19,2.19,0,1.09,5.46,1.09,1.09,0,1.09,4.37,1.09,7.65,0,0,1.09,147.53,0,2.19,0,0
108-118,0,0,0.77,62.04,0.77,31.4,0,0,1.53,0,0,0,0,2.3,0.77,1.53,6.13,0,6.13,0,0,0,117.96,0,0,1.53,0
120,0,0,0,60.75,0,23.52,0,0,1.96,0,0,1.96,0,0,0,1.96,3.92,0,3.92,0,0,0,92.11,0,0,1.96,1.96
