stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,206.86,0,0,0,0,7.39,0,0,0,0,0,0,0.82,2.46,0,0,278.27,1.64,0,10.67,32.83,0,0,5.75,0,0.82,0,0.82,8.21,0,0,0,0,0
 36-46,0,0,165.97,0,0,1.61,0.81,34.64,8.86,0,0,0.81,0.81,0,0,4.83,0,0,445.54,3.22,0,62.04,37.87,0,2.42,4.03,0,2.42,0,0,3.22,0,0,0,0,1.61
 48-58,0,0,95.83,0.57,0,9.75,0,53.94,21.8,2.87,0,0.57,0,0,0,2.3,0,0,398.22,0,0.57,43.04,21.23,0,0.57,7.46,0,0,0,0,3.44,0,0,0.57,0,0
 60-70,0,0,38.28,0,0,7.85,0,36.32,22.58,1.96,0,0,0,0,0,1.96,0.98,0,540.82,1.96,0.98,18.65,16.69,0,3.93,1.96,0.98,0,0.98,0,0.98,0,0.98,0,0,0
 72-82,0,0,74.61,0,0,50.06,0.98,56.94,54.97,10.8,0,0,0,0.98,0.98,1.96,0,0,977.74,0.98,6.87,48.1,36.32,0,3.93,5.89,0,1.96,0,0,1.96,1.96,9.82,1.96,6.87,0
 84-94,0,0,118.95,2.12,0,62.66,1.06,78.59,32.92,6.37,0,0,1.06,3.19,0,0,0,1.06,565,0,6.37,26.55,19.12,0,4.25,2.12,0,2.12,1.06,0,4.25,1.06,2.12,3.19,1.06,0
 96-106,0,0,153,1.09,0,57.92,2.19,90.71,38.25,7.65,1.09,2.19,2.19,3.28,0,4.37,2.19,0,801.06,1.09,16.39,39.34,57.92,1.09,12.02,5.46,3.28,5.46,1.09,0,0,0,6.56,1.09,4.37,1.09
108-118,0,0,139.41,1.53,0.77,28.34,0,118.72,33.7,3.06,2.3,0.77,0.77,1.53,0,4.6,1.53,0,877.79,3.83,13.02,28.34,45.96,0.77,6.13,3.06,0.77,0.77,0,0,0.77,1.53,3.83,2.3,4.6,0
120,1.96,0,94.07,3.92,0,13.72,0,56.83,23.52,3.92,0,0,1.96,1.96,0,9.8,0,0,462.51,5.88,1.96,17.64,39.2,0,3.92,1.96,1.96,1.96,3.92,0,0,0,1.96,0,3.92,0
