stage,blastomeres,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0.81,8.86,0,0,0.81,0,0,1.61,0
 48-58,0,0,0,1.15,0.57,0,0.57,0.57,0,0,4.02,0,0.57,0,0,0.57,1.15,0
 60-70,0,0,0,2.94,0.98,0.98,0.98,0,0,0,6.87,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,3.93,0.98,0.98,0,0,0,0,5.89,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,4.25,2.12,0,0,0,0,1.06,1.06,0,0,0,0,0,2.12,0
 96-106,0,1.09,0,2.19,4.37,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
