stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,47.32,0,21.03,0,0,0
 10-12,0,15.73,12.59,0,3.15,6.29,0,3.15,0,0,3.15,169.94,0,94.41,0,9.44,3.15
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,1.61,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0.57,0,2.87,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0,2.94,0,2.94,0,0,0.98,0,1.96
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
