stage,endocrine.pancreas,erythrocytes,eye,fast.muscle,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,3.22,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,1.72,6.89,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,2.94,8.83,0,0,0,0,0,2.94,0
 72-82,0.98,0,0.98,0,0,0,0,1.96,0,0,0,6.87,22.58,0,0,0,0,0,2.94,0
 84-94,0,1.06,0,0,2.12,0,1.06,6.37,0,0,0,6.37,11.68,0,0,0,0,0,1.06,1.06
 96-106,0,0,3.28,0,1.09,0,0,15.3,1.09,1.09,0,1.09,24.04,8.74,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,0,0,6.89,0,0,0.77,3.83,10.72,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,9.8,0,1.96,0,1.96,5.88,5.88,0,0,0,0,0,0
