stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,23,3,0,0,0,0,5,0,5,4,0,0,0,0
 24-34,0,0,0.82,2.46,0,4.1,0,0,1.64,0,0.82,0.82,0.82,0,0,4.1,0,0,0.82,34.48,0,0.82,0.82,0,0.82,0,0,1.64,6.57,0,0.82,0,0
 36-46,0,0,0,0,0,5.64,0,0.81,1.61,0,0,0.81,0,0,0,2.42,0,0,2.42,17.72,0,0.81,0,0,1.61,0,0,0,6.45,0,0.81,0,2.42
 48-58,0,0,0,0,0.57,11.48,0.57,0,5.16,0,0,0,0,0,0,6.31,0,1.15,0,13.77,0,0.57,0,0,0,0,0,0,7.46,0,0,0,0
 60-70,0,0,0,0,0,10.8,0,0,1.96,0.98,0,0,0.98,0,1.96,7.85,0,0,0.98,16.69,0,0,1.96,0,0,0,0,0,2.94,0,0,0,1.96
 72-82,0,0,0,1.96,0,10.8,0,0,0.98,0,0,0,0,0,0,9.82,0,0,1.96,14.72,0,0,0.98,0,0.98,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,0,2.12,1.06,10.62,0,0,3.19,0,0,1.06,0,0,1.06,9.56,1.06,0,1.06,11.68,1.06,0,1.06,0,3.19,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,0,0,1.09,0,0,0,3.28,0,0,1.09,8.74,1.09,2.19,0,0,1.09,0,0,0,0,0,1.09,0,2.19
108-118,0,0,0,0.77,0.77,6.13,0,0.77,1.53,0,0,2.3,0,0.77,0,2.3,0,0,0,6.89,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,2.3
120,0,0,0,1.96,0,3.92,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,1.96,7.84,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0
