stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,1,0,42,0
 24-34,0,0,0,0,1.64,0.82,6.57,0,0,0,9.85,0,0.82,0,0,3.28,0,0.82,3.28,13.95,0.82,0,0,0,0,0.82,0,3.28,0,190.44,0
 36-46,0,0,0,0,0.81,0,4.83,0,0,0.81,8.86,0.81,0,0,0.81,13.7,0,1.61,0,12.89,2.42,0.81,0,0,0,0,0,1.61,0,147.44,0
 48-58,0,0,0,0,0,0.57,6.89,0,0,0,12.05,5.16,0,0,0,10.33,0.57,2.3,0,15.49,0,0,0,0,0,0,0,2.87,0,105.01,0
 60-70,0,0,0,0,0.98,1.96,3.93,0,0,1.96,3.93,24.54,0,0,0,11.78,0,1.96,0.98,23.56,0,0,0,0,0,0,0.98,1.96,0,98.15,0
 72-82,0,0,0.98,0,0,3.93,7.85,0.98,0,0.98,10.8,36.32,0.98,0,0,12.76,0,1.96,3.93,16.69,0,0,0,0,0,0,0,0.98,0,163.94,0.98
 84-94,0,0,0,0,1.06,0,4.25,0,1.06,1.06,4.25,45.67,0,0,0,9.56,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0,165.68,0
 96-106,0,0,0,0,0,3.28,4.37,0,2.19,0,5.46,41.53,0,0,0,9.84,0,4.37,0,18.58,1.09,1.09,0,0,1.09,0,1.09,1.09,0,201.08,0
108-118,0.77,0,0,0,0.77,0.77,6.13,0,0,1.53,0.77,37.53,1.53,0.77,0,7.66,0.77,3.83,0,17.62,0,0,0.77,0,0,0.77,1.53,0,0,170.81,0.77
120,0,0,0,0,0,0,0,0,0,0,3.92,50.95,0,0,0,7.84,0,0,0,7.84,0,0,0,0,0,1.96,0,0,1.96,152.86,0
