stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,12.26,478.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,134.85,0,0,0,0,0,0
  7-9,2.63,13.14,0,420.59,0,0,0,18.4,0,0,0,152.47,0,0,0,0,0,0,0,1687.63,0,0,0,47.32,13.14,0,0,0,0,0,0
 10-12,0,3.15,0,185.67,0,0,0,6.29,0,0,0,47.2,0,0,0,0,0,0,0,755.27,3.15,0,0,15.73,6.29,9.44,0,0,0,0,0
 14-21,0,0,0,8,68,0,0,1,1,0,1,5,0,6,0,0,3,0,0,6,0,2,7,0,3,0,1,0,2,0,0
 24-34,0,0,0,0,16.42,0,0,0,4.1,0.82,0,0,0,18.06,0.82,0.82,0.82,1.64,0,9.85,0,6.57,2.46,0,36.12,0,0,0.82,0.82,0,0
 36-46,0,0,0,0,7.25,0,0,0,1.61,0,0,0,0,2.42,0.81,0,0,0,0,3.22,0,2.42,2.42,0,20.14,0.81,0,0.81,0.81,0,0
 48-58,0,0,0,0,6.89,0,0,1.72,2.3,0,0,0,0,1.72,1.72,0.57,0.57,1.72,0.57,5.74,0,5.16,2.3,0,12.62,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0,0.98,0.98,0,1.96,0,0,0.98,0.98,0,0,0.98,0,1.96,0,5.89,1.96,0,15.7,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,8.83,0,0,0.98,2.94,0,1.96,0,0,9.82,0,0,0,0,0,4.91,0,4.91,5.89,0,18.65,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,20.18,0,0,1.06,4.25,1.06,4.25,0,0,16.99,3.19,0,0,4.25,0,2.12,0,4.25,2.12,0,59.47,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,13.11,0,0,0,2.19,2.19,6.56,0,0,5.46,4.37,1.09,1.09,3.28,0,1.09,0,10.93,5.46,0,26.23,0,0,0,0,2.19,0
108-118,0,0,0,0,19.92,0.77,0.77,1.53,3.06,0,3.83,0,1.53,7.66,1.53,0.77,0.77,0.77,0,3.83,0,4.6,1.53,0,22.21,0,0,0.77,0,1.53,0
120,0,0,0,0,13.72,0,0,0,5.88,0,1.96,0,0,3.92,1.96,0,0,0,0,3.92,0,1.96,7.84,0,11.76,0,0,0,0,1.96,0
