stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,1.15,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0,0,0,15.7,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,3.93,0.98,0,18.65,0,0,0.98,12.76,0,0,0.98,0,0,0.98,150.19,0,10.8,0,1.96,1.96,42.21,0,0,0,0,0,1.96,0,0,2.94,0,0.98,0.98,0,1.96
 84-94,0,1.06,0,2.12,2.12,0,13.81,1.06,1.06,0,2.12,1.06,0,2.12,0,2.12,0,503.41,0,9.56,0,1.06,1.06,40.36,1.06,1.06,0,0,0,3.19,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,16.39,14.21,3.28,64.48,2.19,5.46,5.46,21.86,9.84,2.19,9.84,2.19,3.28,3.28,802.15,0,46.99,0,6.56,9.84,218.57,1.09,3.28,5.46,0,2.19,41.53,0,0,2.19,1.09,4.37,4.37,3.28,0
108-118,0,0.77,0,26.04,8.43,9.19,61.28,0,2.3,0,26.04,6.89,0,4.6,3.06,3.83,3.06,1529.63,1.53,53.62,0.77,1.53,7.66,212.17,2.3,0.77,6.13,0,0.77,27.57,2.3,0.77,0.77,3.83,0,4.6,2.3,5.36
120,0,0,0,17.64,15.68,0,52.91,1.96,5.88,1.96,19.6,3.92,0,7.84,0,0,3.92,842.71,0,41.16,1.96,1.96,3.92,170.5,1.96,1.96,1.96,0,0,11.76,1.96,0,3.92,1.96,0,1.96,5.88,1.96
