stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,36.8,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,1.64,0,0,0,0,0,0.82,0,0,0.82,27.91,0,2.46,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81,0.81,0,0,0,41.09,0,1.61,0.81,0,0,0,0,0.81,0,0,10.47,0,0,0,0,0
 48-58,0,0,0,0,0,7.46,0,0,0.57,3.44,0,0,0,0.57,1.72,0,0,1.72,56.81,0,0.57,0,0,0,0.57,0,0,0,0,8.61,0,0,0,0,0
 60-70,0,0,0,1.96,0,37.3,0,0.98,0.98,5.89,0,0,0,0,8.83,0,0,1.96,94.23,0,0.98,0,0,0,0.98,0,0,0,0,13.74,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,30.43,0,0,0.98,3.93,0,0,0,0,13.74,0,0,2.94,67.73,0.98,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,14.87,0,0,0,0,0,0,1.06,0,11.68,0,1.06,0,35.05,0,0,0,0,0,2.12,0,0,1.06,0,6.37,0,1.06,1.06,0,1.06
 96-106,0,0,0,3.28,0,9.84,0,0,0,5.46,0,0,0,1.09,5.46,0,0,2.19,38.25,0,0,2.19,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,0.77,0.77,4.6,0,0.77,0,0.77,0.77,0,0,0,1.53,0,0,0,39.06,0,0.77,0,0,0.77,0.77,0,0,0,0,1.53,0,0.77,0,0.77,0
120,0,0,0,3.92,1.96,13.72,1.96,0,1.96,1.96,0,0,0,0,1.96,3.92,0,0,27.44,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
