stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,26,5,0,5,0,0,0,0,1,0,0,1,1,0,0,0,1,7,0,0,16,104,2,0,2,0,9,1,11,2,1,6,39,0,0,0,0,0
 24-34,0,1.64,9.03,0.82,0,13.13,0,0,0,4.1,0,0,0.82,0.82,1.64,0,0,0.82,0,14.78,0,0.82,5.75,130.52,2.46,1.64,3.28,0,18.06,0,0,0.82,1.64,2.46,36.12,0,0,5.75,0,0.82
 36-46,0,0,4.03,0,0,41.09,1.61,1.61,2.42,14.5,0,0,1.61,0.81,0.81,1.61,1.61,0,0.81,22.56,1.61,0.81,9.67,207.06,2.42,2.42,3.22,0,20.95,0,0.81,0.81,0.81,0,43.51,0,0,2.42,0,0.81
 48-58,0,0,5.16,0.57,0,60.82,1.72,2.3,0.57,18.36,1.15,0.57,1.15,1.72,0,1.72,1.15,0,1.15,30.99,0.57,0,5.16,158.94,0.57,5.16,4.02,0.57,10.33,0,0,1.15,0,0,28.12,0,0,5.74,0,1.15
 60-70,0,0,7.85,3.93,0,131.52,0,1.96,5.89,31.41,0.98,0,0,4.91,1.96,2.94,0,0.98,0.98,31.41,0.98,0,4.91,193.36,0,3.93,1.96,0.98,11.78,0,0,0,0,0,23.56,0,0.98,4.91,0,0.98
 72-82,1.96,0,7.85,4.91,0,155.1,0.98,0,2.94,50.06,1.96,0,1.96,6.87,0.98,1.96,2.94,0,0,78.53,1.96,3.93,1.96,233.64,0.98,2.94,4.91,0.98,23.56,0,0,2.94,0,0,19.63,1.96,0.98,8.83,2.94,2.94
 84-94,2.12,0,9.56,2.12,1.06,76.47,0,3.19,2.12,32.92,3.19,0,0,8.5,0,4.25,1.06,1.06,4.25,45.67,4.25,0,4.25,83.9,2.12,4.25,6.37,0,39.3,0,0,0,0,0,13.81,3.19,2.12,8.5,4.25,0
 96-106,1.09,0,25.14,4.37,1.09,55.74,0,3.28,1.09,33.88,8.74,0,1.09,9.84,3.28,5.46,4.37,1.09,1.09,32.79,1.09,2.19,0,72.13,1.09,5.46,12.02,1.09,43.71,0,0,0,0,0,6.56,2.19,5.46,16.39,5.46,2.19
108-118,0,0,35.23,3.83,8.43,64.34,0.77,6.13,1.53,42.13,7.66,0,0.77,10.72,3.06,6.89,1.53,3.83,0.77,47.49,1.53,2.3,6.89,91.92,3.06,9.19,10.72,0.77,36,0,0,2.3,0,0,3.83,1.53,1.53,7.66,2.3,6.13
120,1.96,0,25.48,0,5.88,90.15,3.92,5.88,3.92,39.2,17.64,0,0,19.6,3.92,0,7.84,3.92,0,29.4,0,0,0,133.27,0,11.76,11.76,0,39.2,0,0,7.84,0,0,3.92,1.96,1.96,7.84,0,3.92
