stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,9.03,3.28,0.82,0.82,0,0,13.95,0,0,0,31.19,6.57,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,13.7,0.81,0,2.42,0.81,0,9.67,0.81,0,0,29,3.22,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0.57,11.48,0,0,1.15,0.57,0.57,4.02,0,0,0,13.77,1.15,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,15.7,0,0,2.94,0,0,3.93,0,0,0,16.69,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,0.98,0,0,11.78,0.98,0,11.78,0,0,0.98,0,0,0,3.93,0.98,0,0,0.98
 84-94,0,0,2.12,0,4.25,0,1.06,1.06,0,0,18.05,5.31,0,16.99,0,0,3.19,0,0,0,54.16,0,2.12,0,0
 96-106,0,0,5.46,1.09,2.19,0,0,1.09,1.09,0,26.23,0,0,6.56,0,0,5.46,0,0,0,40.44,0,7.65,1.09,1.09
108-118,0,0,6.89,0,4.6,0,0,0.77,2.3,0,30.64,6.13,0,7.66,0.77,0,5.36,0,0.77,0,61.28,0,12.26,0,0
120,0,0,1.96,0,0,0,3.92,0,1.96,0,48.99,0,0,3.92,1.96,0,5.88,0,0,0,43.12,0,1.96,0,0
