stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,2.63,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,18.88,0,3.15,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,4,12,0,0,0,100,0,0,0,0,0,0,0,11,0,0,1,49,2,2,26,2,1,1,2,174,3,230,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,0.82,0,2.46,87.83,0.82,0,0,0,0,0.82,0.82,5.75,0,0,1.64,44.33,0.82,9.03,9.03,0,6.57,0,0,50.07,4.1,158.43,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,0,53.17,0.81,0,0,0,0,1.61,0,6.45,0,0,0.81,48.34,0,18.53,3.22,0,3.22,0,0,24.98,0,122.46,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,3.44,0.57,0.57,52.22,0.57,0,0,0,0,3.44,0,6.31,0,0,0,21.23,0,15.49,6.31,0,0.57,0,0,7.46,0,95.25,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,4.91,0,0,60.85,0,0,0.98,0,0,9.82,0,1.96,0,0.98,0,36.32,0,25.52,13.74,0,0,0,0,7.85,0,50.06,0,0.98,0,0
 72-82,0,0,8.83,0,0,0,3.93,0.98,0.98,60.86,0.98,0,1.96,0,0.98,19.63,0,6.87,0.98,0.98,0,21.6,0,43.19,26.5,0,1.96,0,0,4.91,0,33.38,0.98,1.96,1.96,0
 84-94,0,0,3.19,0,0,0,6.37,0,0,42.48,2.12,0,0,1.06,0,15.93,0,6.37,0,0,1.06,16.99,0,40.36,43.54,0,1.06,1.06,0,11.68,0,37.17,2.12,1.06,0,0
 96-106,0,0,2.19,2.19,1.09,1.09,7.65,0,0,41.53,6.56,0,1.09,1.09,0,41.53,0,5.46,0,0,0,8.74,1.09,59.01,44.81,0,2.19,0,0,8.74,0,28.41,1.09,1.09,0,1.09
108-118,0,0,0.77,2.3,0,0.77,3.83,0,0,33.7,0.77,0,0,0,0,18.38,0,4.6,0,0.77,0,14.55,0,28.34,22.98,0,2.3,0,0,9.19,0,17.62,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,0,25.48,1.96,0,3.92,0,0,21.56,0,1.96,0,0,0,11.76,0,17.64,27.44,0,1.96,0,0,7.84,0,11.76,0,3.92,0,0
