stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0
  7-9,0,7.89,0,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.32,13.14,0,0,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,8,7,0,0,0,61,0,0,0,0,0,0,4,0,6,24,0,0,1
 24-34,0,0,0,0,0,0,18.88,0,0,0.82,0,0,0,0,0.82,0,0,3.28,9.85,0,0,4.93,79.62,1.64,0,1.64,0,0,4.1,0,0,0.82,22.98,0,2.46,0.82
 36-46,0,0,0,0,0.81,0,14.5,0,0,4.03,0,0,0,0,0,0,0,0,7.25,0,0.81,2.42,49.15,0.81,0.81,0.81,0,0,1.61,0,0,0,11.28,0,0.81,0
 48-58,0,0,0,0,0,0,14.92,0,0,5.16,0,0,0,0,1.15,0.57,0,0,8.61,0,0,1.72,41.89,0,0.57,0,0,0,1.15,0,0,0,10.33,0,0,0
 60-70,0,0,0,0,0.98,0,11.78,0,0.98,9.82,0,0,0,0,0,0,0,0,10.8,0,1.96,0.98,28.46,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,0,0.98,0,11.78,0,0,8.83,0,0.98,0.98,0,0.98,0,0,0,11.78,0,0,0.98,39.27,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,0,4.25,0,8.5,0,0,5.31,1.06,0,1.06,0,1.06,0,0,0,11.68,0,0,1.06,22.3,0,0,2.12,0,0,5.31,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,8.74,1.09,0,7.65,0,0,0,1.09,0,1.09,1.09,0,7.65,0,0,2.19,25.14,0,1.09,1.09,0,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,1.53,0.77,12.26,0.77,0,10.72,0,0,0,0,2.3,0.77,0,0,7.66,0,0,2.3,23.74,0.77,0,0.77,0,1.53,2.3,0,0,0,0.77,0,1.53,0.77
120,0,0,0,0,0,1.96,7.84,1.96,0,3.92,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,27.44,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0
