stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,10,8,1,4,0,0,0,1,0,0,2,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0
 24-34,0,2.46,4.93,0,3.28,0,0,0.82,0,0,0,3.28,0,0.82,4.1,0,2.46,65.67,0,1.64,1.64,0,0,1.64,0,0,0,0,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0,1.61,0,0,0,0,0,0,5.64,4.03,2.42,86.21,0,4.03,0,0,0,1.61,0,0,0,0,15.31,0,0,0,0,0
 48-58,0,0,0,0,8.61,0,0.57,1.72,0,0,0,0,0.57,0,21.8,9.18,4.02,87.22,0,0.57,2.3,0,0,0,0,1.15,0,0,6.89,0,1.15,0,0,0.57
 60-70,0,0,0,0,36.32,0,1.96,1.96,0,1.96,0,0,0,0,22.58,12.76,4.91,181.58,0,1.96,7.85,0,0,1.96,0,0,0,0,18.65,0,1.96,0.98,4.91,0
 72-82,0,0,0.98,0,63.81,0,1.96,13.74,0,0.98,0,0,4.91,0,52.03,17.67,5.89,185.53,0,3.93,13.74,0,0,0,0,0,0,0,27.49,10.8,8.83,2.94,8.83,0.98
 84-94,0,0,2.12,0,33.99,0,0,11.68,4.25,0,0,0,5.31,0,27.61,13.81,2.12,106.2,0,5.31,19.12,0,0,1.06,0,0,0,0,23.36,14.87,10.62,1.06,23.36,0
 96-106,0,0,1.09,0,43.71,1.09,0,16.39,1.09,0,0,1.09,12.02,0,39.34,13.11,3.28,90.71,0,6.56,19.67,1.09,0,0,0,1.09,1.09,0,8.74,19.67,3.28,1.09,17.49,0
108-118,0,0,2.3,0,38.3,1.53,0,6.13,0.77,0,0,0,6.89,0,19.92,4.6,2.3,93.45,0,2.3,21.45,0,0.77,0,0,0.77,0,0,7.66,12.26,0,3.06,10.72,0
120,0,0,1.96,0,35.28,0,0,5.88,1.96,1.96,1.96,0,9.8,0,31.36,7.84,0,72.51,1.96,1.96,21.56,0,0,0,0,0,0,0,1.96,7.84,0,0,11.76,0
