stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,2,0,1,0,1,0,0,3,0,1,0,0,1,1,1,2,7,0,0
 24-34,0,0,0,3.28,0,0,0,1.64,0,0,0,0,24.63,2.46,0,0,0,0,0,0,0,18.06,0,0
 36-46,0,0,0,0.81,0,6.45,0,4.83,0,0,0,0,66.87,2.42,0,0,0,0,0,0,0,24.17,0.81,0
 48-58,0,0,0,10.33,0,11.48,0,10.33,0,0.57,0.57,0.57,86.64,1.72,0,0,0,0,0,0,0,34.43,1.72,0
 60-70,0,0.98,0,11.78,0,40.24,0,19.63,0.98,2.94,0,0,43.19,0.98,0,0.98,0,0,0,0,0,27.48,3.93,0
 72-82,0,0,1.96,45.16,0.98,37.3,0.98,28.47,0,5.89,0,0,127.62,4.91,0,0,0,0,0,0,0,5.89,8.83,0
 84-94,0,0,1.06,31.86,0,29.74,0,50.98,0,0,0,0,71.16,1.06,0,0,0,0,0,0,0,5.31,11.68,0
 96-106,0,0,0,22.95,0,27.32,0,59.01,0,1.09,0,0,41.53,6.56,1.09,2.19,0,0,0,0,0,4.37,10.93,2.19
108-118,0,1.53,0.77,19.15,0,19.92,0,58.21,0,2.3,0,0,93.45,3.06,3.83,0,0,0,0,0,0,3.06,10.72,0
120,0,0,0,13.72,0,17.64,0,47.03,0,0,0,0,68.59,1.96,0,0,0,0,0,0,0,0,0,0
