stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,18.88,0,0,0,12.59,0,0,0,0
 14-21,0,2,0,1,0,0,0,1,0,7,1,0,3,4,0,0,8,303,555,2,0,0,0
 24-34,0,0.82,0,2.46,4.1,0,0,0.82,0,3.28,1.64,0,5.75,23.8,0,0,0,51.71,238.87,1.64,0,1.64,0
 36-46,0,0.81,0,1.61,9.67,0,0,0,0,0,0.81,0,3.22,6.45,0,0,0,19.34,11.28,0,0,0,0
 48-58,0,0.57,0,4.02,6.89,0,0,1.72,0,0.57,0.57,0.57,9.75,5.16,0,0,0,5.16,0,0.57,0.57,0,0.57
 60-70,0,0,0,0.98,14.72,0.98,0,0,0,0.98,2.94,0,4.91,3.93,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0,0.98,11.78,0,0,0.98,0,0,0,0,8.83,5.89,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,0,2.12,10.62,0,0,0,0,0,3.19,0,3.19,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,3.28,2.19,14.21,0,0,0,1.09,0,0,0,5.46,3.28,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0,1.53,9.96,0,0.77,0,0,0.77,1.53,0,6.13,0.77,0,0,0,3.83,0,0,0,0,0
120,0,0,1.96,0,7.84,0,0,0,0,0,0,0,5.88,1.96,0,0,0,7.84,0,0,0,0,0
