stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 48-58,0,0,0,0,0.57,0,0.57,1.72,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,2.94,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,17.49,0,0,0,0,0,1.09
108-118,0,1.53,0,0,0,37.53,0.77,2.3,0,0,0,1.53
120,0,0,1.96,0,0,76.43,1.96,0,0,0,0,1.96
