stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,2.46,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,89.43,1.61,0.81,0,0,0,17.72,0,0,0
 48-58,0,0,0,0,13.2,0,0,0,1.15,0.57,0,0,0,0,0.57,0.57,0,1.15,125.09,2.87,0,0,0.57,0,12.62,0.57,0,0
 60-70,0,0,0,0,67.73,0,0,0,5.89,0,0,0,0,0.98,4.91,0,0,0.98,212.99,3.93,0,0,2.94,0,8.83,0,0,0
 72-82,0,0,3.93,0.98,214,0,0,0,17.67,0,0,0,0.98,0.98,7.85,0,0.98,0,293.52,8.83,0.98,0,0,0,9.82,0,0.98,0.98
 84-94,0,0,0,2.12,143.38,0,0,1.06,10.62,0,1.06,0,0,1.06,7.43,0,1.06,0,172.05,11.68,0,0,1.06,0,8.5,1.06,0,0
 96-106,0,0,8.74,3.28,193.43,1.09,1.09,0,29.51,0,2.19,0,0,1.09,14.21,0,0,0,205.46,9.84,0,2.19,3.28,0,7.65,1.09,0,1.09
108-118,0,0,3.06,0.77,150.89,0,0,0,26.04,0,0,0,0,1.53,3.83,0,0,1.53,166.98,12.26,0,0,1.53,0,3.06,0.77,0,0
120,0,1.96,9.8,1.96,129.35,0,0,0,41.16,0,0,1.96,0,0,3.92,0,0,0,213.62,11.76,0,0,0,1.96,9.8,1.96,0,0
