stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,pericytes,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,1.61,0.81,0,0,0,0,0,0,0
 48-58,0.57,0,1.15,0.57,0.57,0,20.08,6.89,0.57,2.87,0.57,0,0,1.72,0,0.57
 60-70,0,0,0.98,0,0,0,36.32,12.76,0,1.96,1.96,0,0,9.82,0,8.83
 72-82,0.98,0,2.94,0,0.98,0,64.79,14.72,1.96,0.98,1.96,0,0,21.6,0,30.43
 84-94,0,0,3.19,0,0,0,39.3,24.43,0,1.06,1.06,0,0,24.43,0,38.23
 96-106,0,0,4.37,0,0,2.19,33.88,10.93,1.09,1.09,0,0,0,16.39,1.09,44.81
108-118,0,0,0.77,0,0,0,30.64,4.6,0.77,2.3,0,0,0,6.89,0.77,29.87
120,0,0,0,0,0,0,43.12,5.88,0,0,3.92,0,0,11.76,1.96,27.44
