stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1041.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,34.17,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,3.15,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,37.76,3.15,3.15,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,13,2,0,4,0,0,0,2,0,0,0,0,0,0,0,1,7,0,0,6,35,1,0,0,2,1,0,9,0,0,11,8,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,7.39,0,0,0,0,0,0,1.64,0,0,0,0,0,3.28,0,0,2.46,61.56,0,0,0,0,6.57,0,0,0.82,0.82,3.28,18.06,0,0,3.28,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,0.81,0,0,0,0,0,0,0,0.81,8.86,0,0,1.61,37.06,0,0,0,0,8.86,0,0,0,0,0,9.67,0,0,1.61,0,0.81
 48-58,0,0,1.72,0,0,25.25,1.15,0,0.57,4.59,0,0,0.57,0,0,0,0,0.57,10.33,0.57,0,2.3,36.72,0,0,0.57,0,1.15,0,0,0.57,0,0,11.48,0,0,0,0,0
 60-70,0,0,2.94,0.98,0,29.45,0,0.98,0.98,4.91,0.98,0,0,0,0,0.98,0,0,7.85,0,0,0,41.22,0,0,1.96,0,0.98,0,0,0,0.98,0,5.89,0,0,0.98,0,0
 72-82,0,0,1.96,0,0,38.28,0,0.98,0.98,8.83,0.98,0.98,0.98,0.98,0,0,0,0.98,17.67,0.98,0,2.94,54.97,0,1.96,0.98,0,1.96,0,0,0.98,0,0,6.87,0,0.98,7.85,0,1.96
 84-94,0,0,4.25,1.06,0,15.93,0,1.06,0,6.37,0,1.06,0,1.06,1.06,4.25,1.06,1.06,13.81,0,2.12,3.19,29.74,2.12,0,1.06,0,10.62,0,0,2.12,0,0,3.19,0,1.06,0,1.06,1.06
 96-106,0,0,5.46,1.09,0,10.93,0,0,1.09,8.74,0,0,0,3.28,0,1.09,0,0,8.74,0,1.09,3.28,15.3,0,0,2.19,0,9.84,0,0,2.19,0,0,0,0,0,3.28,0,2.19
108-118,0,0,8.43,3.06,1.53,13.02,0,0.77,0.77,4.6,2.3,0,0,1.53,0,2.3,0,0,10.72,1.53,0,3.83,28.34,0,1.53,0.77,0,9.96,0,0,0,0,0,1.53,0.77,2.3,1.53,0.77,0.77
120,0,0,1.96,1.96,0,7.84,0,0,0,11.76,0,1.96,0,1.96,0,0,1.96,0,21.56,0,0,1.96,29.4,0,1.96,0,0,11.76,0,0,0,0,0,3.92,0,0,1.96,0,0
