stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,1,0,6,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,22.16,0.82,0,0,0,0,0,0.82,2.46,0.82
 36-46,0,0,0,0,2.42,0.81,0,0,0,0,1.61,0,20.14,0.81,0,0,0,0,0,0,2.42,0
 48-58,0,0.57,0,0,5.74,1.15,0,0.57,0,0,0,0.57,17.21,0,0.57,0,0,0.57,0,0,3.44,0
 60-70,0,0,0,0,13.74,0,0,0.98,0,0,1.96,0,26.5,0,0,0,0,1.96,0,0,5.89,0
 72-82,0,0,0,1.96,20.61,0,1.96,9.82,0,0,6.87,0,24.54,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,12.74,0,0,1.06,0,0,1.06,1.06,11.68,0,0,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,0,5.46,0,0,1.09,0,1.09,1.09,0,7.65,0,0,0,0,3.28,0,0,2.19,0
108-118,0,0,0,0.77,5.36,0,0,0.77,0.77,0,1.53,0,11.49,0,0,0,0.77,0.77,0,0,1.53,0
120,0,0,0,0,1.96,0,0,5.88,0,0,0,1.96,11.76,0,0,0,0,1.96,0,0,0,1.96
