stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,2.46,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0.81,11.28,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,1.72,1.15,14.35,0,0,1.15,0.57,0,0,0,0
 60-70,0,0,0.98,0,9.82,0.98,0,0,0,0.98,0,10.8,0,0,0.98,2.94,0,0.98,0,0
 72-82,0,0,0.98,0.98,12.76,0,0,0,0,0.98,0,13.74,1.96,0,0.98,0.98,0,0,0,0
 84-94,0,0,1.06,0,6.37,0,0,0,0,1.06,0,5.31,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,1.09,0,1.09,0,4.37,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0.77,0,0,0,0.77,1.53,0,3.83,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
