stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,15.77,2.63,0,5.26,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,3.15,0,0,47.2,0,0,12.59,0,3.15,3.15,0
 14-21,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0.82,0,0,0.82,0.82,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81
 48-58,0,0,0,0.57,1.15,0,0,0,0,0,0,3.44,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,3.93,0,0,2.94,3.93,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,2.12,1.06,0,3.19,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,9.84,0,0,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,0,0,13.79,0,0,0.77,3.06,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,1.96,1.96,0,0,0,0,0,0,0
