stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,11,13,0,6,0,0,0,2,0,1,0,40,1,0,0,0,0,4,0,0,4,64,1,1,0,1,8,0,14,0,0,9,29,0,0,0,0
 24-34,0,0,1.64,7.39,0,11.49,0,0,0.82,2.46,0,0,0,115.74,1.64,0,0,3.28,0.82,4.93,0,0,3.28,90.29,0,0,2.46,0,4.1,0,0,0.82,0.82,0,13.95,0,4.1,0,0
 36-46,0,0,1.61,3.22,0,17.72,0,0,0,1.61,0,0,0,116.02,0.81,0,0,0,0.81,3.22,0,0,1.61,34.64,0,0.81,0,0,5.64,0.81,0,0,0.81,0,8.86,0,1.61,0,0.81
 48-58,0,0,0,25.82,0,14.35,0,0,0,1.15,0,1.72,0,52.22,0,0,0,0,1.72,4.02,0.57,0,0.57,10.9,0,0,0,0,1.72,0,0,0,0,0,4.02,0,0.57,0,0
 60-70,0,0,2.94,42.21,0,23.56,0,0,0,4.91,0,0,0,56.93,0,0,0,0,0,6.87,0,0,0,18.65,0,0,0.98,0,4.91,0,0,0,0,0,0.98,0,6.87,0,0.98
 72-82,0,0,1.96,29.45,0,8.83,0,0,0,0.98,0,0,0,27.49,1.96,0.98,0.98,0,0,8.83,0.98,0,0,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0,6.87,0,0
 84-94,0,0,8.5,166.74,0,13.81,0,2.12,0,0,1.06,0,1.06,29.74,4.25,0,0,0,0,13.81,1.06,0,0,5.31,1.06,0,0,0,16.99,0,0,0,0,0,1.06,0,7.43,0,0
 96-106,0,0,17.49,57.92,0,19.67,0,1.09,0,5.46,0,0,0,32.79,5.46,2.19,1.09,1.09,0,20.76,2.19,1.09,2.19,24.04,0,0,0,0,8.74,0,0,0,0,0,1.09,0,18.58,1.09,0
108-118,0,0.77,19.92,35.23,1.53,7.66,0,3.06,0,3.83,0.77,0,0,30.64,9.96,0,0,6.89,0,13.02,0,0,1.53,25.28,0,0.77,0,0,10.72,0,0,0.77,0,0,1.53,0,13.02,0,0
120,0,0,9.8,99.95,0,11.76,1.96,5.88,0,1.96,1.96,0,0,60.75,5.88,0,0,1.96,0,13.72,0,0,0,27.44,0,0,1.96,0,9.8,0,0,0,0,0,0,1.96,17.64,0,0
