stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,275.83,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,49.95,2.63,0,0,39.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,31.47,0,0,0,0,0,0,0,25.18,0,0,0,31.47,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,1,22,0,14,0,0,0,0,13,0,0,0,0,0,0,0,21,0,0,0,0,0,1,2,0,1,4,1,0
 24-34,0,0,0,0.82,4.1,0,35.3,0,0,0,0,1.64,0,0.82,0,0,0,0,0.82,16.42,0,0,0,0,0.82,0,0,0,0.82,2.46,3.28,0
 36-46,0,0,0,0,0.81,0,19.34,0,0.81,0,0,0,0,0,0,0,0,0,0,9.67,0.81,0.81,0.81,0,0,0.81,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,1.15,0,9.75,0,0,0,0,0,0,0.57,0,0.57,1.72,0,0.57,4.02,0,0,0,0,0.57,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0.98,18.65,0,0,0.98,0,0,0,0.98,0,0.98,1.96,0,0,3.93,0,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,4.91,14.72,0,0,0.98,0,0,0,0.98,0,0.98,2.94,0,0,7.85,0,0.98,0,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,1.06,1.06,3.19,10.62,9.56,0,0,0,1.06,0,1.06,2.12,2.12,1.06,2.12,0,2.12,5.31,0,0,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,2.19,2.19,16.39,10.93,1.09,0,0,0,0,3.28,0,0,0,2.19,0,0,4.37,0,2.19,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,9.19,44.43,10.72,0,0,2.3,1.53,0,0.77,4.6,0,0,2.3,0,0,4.6,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,17.64,13.72,5.88,0,0,0,0,0,3.92,0,0,0,3.92,1.96,3.92,9.8,0,0,0,0,1.96,0,0,1.96,0,0,0,0
