stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,1,0,0,4
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,13.13,0,0,0,0,0,1.64,0,33.66
 36-46,0,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0,1.61,0,34.64
 48-58,0.57,0,0.57,0,9.75,0.57,0,1.15,0,0,0.57,0,2.87,0.57,6.89,0,0,0.57,0,0,1.72,0,46.48
 60-70,0,0,0,0.98,14.72,0.98,0,0.98,0.98,0,0,0,8.83,0,6.87,0,0,0,0,0.98,1.96,0,41.22
 72-82,0,0,0,0.98,14.72,0,0.98,1.96,0,0.98,0.98,0,34.36,0,11.78,0.98,0,0,0,0,0,0.98,107.98
 84-94,0,0,0,1.06,12.74,0,0,1.06,1.06,0,0,0,28.68,0,6.37,0,0,0,0,0,0,0,79.65
 96-106,0,0,1.09,0,21.86,2.19,0,4.37,2.19,0,0,0,21.86,0,9.84,0,0,0,0,0,1.09,0,95.08
108-118,0,0,0,0,13.79,0.77,0,3.06,0.77,0,1.53,0.77,20.68,0,5.36,0,0,0,0,0,0,0.77,65.11
120,0,0,0,0,19.6,0,0,1.96,0,0,0,0,15.68,1.96,9.8,0,0,0,0,0,0,0,76.43
