stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,69,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,14,0,0,33,28,1,0,0,1,0,8,2,1,1,13,12,0,0,0,0,0
 24-34,0.82,0,0,40.22,0,0.82,0,12.31,0,0.82,0,0,0,0,3.28,0,0,0.82,0,15.6,0,0,8.21,64.03,0,0.82,4.93,0,0,9.85,0,0,0.82,1.64,17.24,0,0,3.28,0,0
 36-46,0,0,0,17.72,0,1.61,0,4.03,0,2.42,0,0.81,2.42,0,0,0.81,0,0,0,30.62,0,0.81,8.86,64.45,1.61,0.81,2.42,0,0,12.09,0,0,0,0,18.53,0,0,4.03,0,0.81
 48-58,0,0,0,13.2,0,8.61,0.57,2.3,1.72,3.44,0,0,1.72,0,0.57,0.57,1.15,0,0,44.76,0.57,0,9.75,66.56,0,0,0.57,0,0,6.31,0,0,0.57,0,17.79,0,0,5.74,0,0.57
 60-70,0,0,0,19.63,0,36.32,0.98,4.91,0,2.94,0,0.98,0,0,0,0.98,0,0,0,57.91,0,2.94,10.8,126.62,0,0,1.96,0,0.98,4.91,0,1.96,0.98,0,15.7,0,0,1.96,0.98,0.98
 72-82,0,0.98,0,15.71,0,78.53,0,1.96,0.98,13.74,0,1.96,0,0,0.98,0,1.96,0,0,85.4,0,2.94,17.67,180.63,0,0,4.91,0,0.98,3.93,0,0,0,0,7.85,0,2.94,5.89,0.98,0.98
 84-94,0,0,1.06,21.24,0,49.92,1.06,4.25,1.06,7.43,2.12,2.12,3.19,0,3.19,0,0,0,0,41.42,1.06,2.12,8.5,86.03,0,2.12,5.31,0,1.06,4.25,0,0,0,0,9.56,2.12,0,4.25,1.06,0
 96-106,0,1.09,0,25.14,3.28,55.74,0,4.37,1.09,15.3,5.46,0,1.09,1.09,1.09,1.09,2.19,0,0,46.99,3.28,2.19,5.46,143.16,0,3.28,6.56,0,2.19,5.46,0,0,0,0,3.28,1.09,2.19,7.65,3.28,0
108-118,0,0,0.77,33.7,0.77,50.55,0,5.36,3.83,7.66,2.3,0,0.77,0,3.83,2.3,0.77,0,0.77,53.62,0.77,3.06,5.36,109.53,0,2.3,8.43,0,2.3,6.13,0,0,0,0,5.36,5.36,0,4.6,2.3,0
120,0,0,0,21.56,1.96,45.08,0,3.92,0,9.8,3.92,0,0,0,0,0,1.96,1.96,0,31.36,0,1.96,7.84,137.18,0,0,11.76,0,0,3.92,0,0,0,0,7.84,1.96,0,5.88,0,0
