stage,endoderm,eye,fast.muscle,glial,melanocytes,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,6.29,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,0,1.61
 48-58,0,1.15,0,0,0,0,0,1.15,0,0,0.57,0,0,1.15
 60-70,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0
 72-82,0,0.98,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0
