stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,13.13,0,0,0.82,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,4.83,0,0,0.81,0,0,0,0,0,0,0,0,0,0,35.45,0,0,0,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,2.3,0,0,3.44,0,0.57,0,0,0,0,0.57,0.57,0,0,65.41,0,0,0,0,0,0,16.07,0,0,0,0
 60-70,0,0,0,3.93,0,0,35.33,0,1.96,0,0,0.98,0,0,2.94,0,0,186.49,0,0,0,0,0.98,0,36.32,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,177.68,0,2.94,0,1.96,0.98,0,0,3.93,0,0,278.79,0,0,0,0,0.98,0,36.32,0,0,0,0
 84-94,0,0,0,4.25,1.06,0,110.45,0,7.43,0,1.06,0,0,0,4.25,0,1.06,168.86,0,0,0,0,2.12,0,24.43,2.12,0,0,0
 96-106,0,0,0,2.19,0,1.09,160.65,0,15.3,1.09,1.09,0,1.09,0,2.19,1.09,1.09,144.26,0,0,0,0,1.09,2.19,8.74,0,2.19,0,1.09
108-118,0,0,0,2.3,1.53,0,125.62,0.77,9.19,0,0,0.77,0,0.77,3.06,0,0,146.3,0.77,0,0.77,0,0.77,0.77,7.66,1.53,0,1.53,0
120,0,0,0,3.92,1.96,0,90.15,0,15.68,1.96,1.96,1.96,0,1.96,5.88,0,0,209.7,0,1.96,0,0,0,3.92,9.8,0,0,0,0
