stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,1,0,3,0,0,0,0,0,0,0,0,8,1,0,1,0,1
 24-34,0,0.82,0.82,0,0,0,0,0,0,0.82,0,7.39,0,0,0.82,2.46,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,1.61,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,2.87,1.15,2.3,0,0,0,1.15,0
 60-70,0,0,0.98,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,1.96,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0.77,0.77,0.77,0,0.77,0,0.77,0,0,0
