stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,64.03,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,9.03,0,0,0,0,0.82,0,0,0,0
 36-46,0,62.04,0,0.81,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,4.83,0.81,0,0,0,0.81,0,0,0,0
 48-58,0.57,258.79,0,1.72,0,0,1.72,0,0,0,0,0,0,0,2.87,0.57,0.57,6.89,0.57,0,0.57,0,2.3,0,0,0,0
 60-70,0,538.86,0,3.93,0,0.98,0,0.98,0,0,0,0.98,0,0.98,10.8,0,0,21.59,0,0,0,0,1.96,0.98,0.98,0,1.96
 72-82,0,333.77,0,6.87,1.96,0.98,0,0,0.98,0,0,0,0,0.98,4.91,0.98,0.98,14.72,0,0,1.96,0,1.96,0,0,0,0
 84-94,1.06,274.01,0,1.06,0,0,0,0,1.06,2.12,0,1.06,0,0,3.19,0,0,5.31,0,1.06,0,0,0,0,1.06,0,0
 96-106,1.09,285.23,0,2.19,0,0,0,0,1.09,1.09,0,0,0,0,7.65,1.09,0,10.93,0,0,1.09,0,1.09,0,1.09,1.09,0
108-118,0.77,172.34,0.77,2.3,0,0,0,0.77,0.77,2.3,0,1.53,0.77,0,1.53,0,0,7.66,0,0,0.77,0,0,0,3.06,0,0
120,1.96,188.14,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0
