stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,5.26,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,3.15,0,0,34.62,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,101,1,0,0,1,0,0,0,4,0,3,23,69,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,0,0.82,0,0.82,3.28,0,0,0,0,0,3.28,0,0,334.09,0,2.46,1.64,0,0,0.82,0,0,0,0,0.82,95.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,86.21,0,0,2.42,0,0,7.25,0,0,0,0,0,8.86,0,2.42,581.69,0.81,4.83,0.81,0,0,2.42,0,0,0,0,0,128.91,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,157.22,0,1.15,11.48,0,0,9.18,0,0,0.57,0,0,11.48,0,0,600.2,0,1.72,0,0.57,0,0.57,0,0,0.57,0,0,116.48,0,0,0.57,0,0.57
 60-70,0,0,0.98,0,3.93,0,0,212.99,0.98,0,13.74,0,0,18.65,0,0,0,0,0,8.83,0.98,0.98,695.9,0.98,2.94,0.98,0,0,2.94,0,0,0,0,0,86.37,0,2.94,3.93,0,0
 72-82,0,0,0,0,5.89,1.96,0,228.73,0.98,0.98,18.65,0,0,30.43,0.98,0,0,0.98,0,13.74,0,0.98,569.36,0,4.91,0,0,0,0.98,0,0,0,0,0,53.01,0.98,2.94,3.93,4.91,0.98
 84-94,0,0,0,0,7.43,0,0,159.31,0,0,11.68,0,0,13.81,0,2.12,0,0,0,10.62,3.19,4.25,291,0,2.12,0,0,0,0,0,0,0,0,0,23.36,1.06,6.37,3.19,8.5,0
 96-106,0,0,0,0,12.02,2.19,0,134.42,1.09,1.09,12.02,2.19,0,27.32,1.09,0,0,0,0,6.56,0,1.09,216.38,0,4.37,1.09,0,2.19,5.46,0,0,0,0,0,19.67,0,5.46,8.74,7.65,0
108-118,0,0,0,0,10.72,0.77,0,98.04,0,0,19.92,2.3,0,13.02,0,2.3,0,0,0,10.72,0.77,2.3,259.66,0,2.3,0,0,0,2.3,0,0,0,0,0,6.13,0,5.36,5.36,1.53,0
120,0,0,0,0,13.72,0,1.96,92.11,0,0,23.52,3.92,0,17.64,0,0,0,1.96,1.96,9.8,1.96,3.92,254.77,1.96,3.92,3.92,0,0,1.96,0,0,0,0,0,3.92,0,5.88,0,7.84,0
