stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,3,0,0,0,0,13,1,0,0,14,4,0,0,12,0,2
 24-34,0,0,5.75,4.93,0,2.46,2.46,1.64,0.82,0,0,0,2.46,0,0.82,0.82,0,0.82,4.1,5.75,0,0,7.39,18.06,0,0,0.82,0,50.07,0,5.75,1.64,11.49,3.28,0,0,53.36,0,20.52
 36-46,0,0,0.81,0.81,0,2.42,2.42,0,0.81,0,0,0,0.81,0,0.81,4.03,0,0,5.64,9.67,0,0,5.64,13.7,0.81,0,1.61,0,56.4,0,1.61,2.42,0,4.03,0,0,44.31,0,16.92
 48-58,0,0,1.72,0.57,0,9.18,4.02,2.87,1.15,1.15,0.57,0,2.87,0,0,4.02,0,0,13.77,32.13,0.57,0,6.31,19.51,0.57,0.57,2.3,0,41.31,0,1.72,0,0,4.02,0,0,59.68,0,29.26
 60-70,0,0,1.96,0,0,3.93,4.91,0.98,2.94,13.74,0,0,0.98,0.98,0,18.65,0,0.98,7.85,37.3,1.96,0,4.91,12.76,0,0,1.96,0,54.97,0,1.96,0,0,2.94,0,0,55.95,0,21.59
 72-82,0.98,0.98,5.89,0,0,9.82,1.96,0,1.96,47.12,0.98,0,3.93,0.98,2.94,19.63,0.98,0,4.91,58.9,0.98,0.98,6.87,22.58,0,0,5.89,0,53.01,0,2.94,0.98,0,1.96,0,0,134.49,2.94,24.54
 84-94,0,0,6.37,0,0,4.25,1.06,2.12,4.25,24.43,5.31,0,4.25,1.06,6.37,23.36,0,0,14.87,38.23,3.19,3.19,1.06,19.12,2.12,0,3.19,0,170.99,0,5.31,0,0,1.06,1.06,0,112.58,2.12,37.17
 96-106,0,0,12.02,2.19,3.28,9.84,1.09,3.28,3.28,36.06,3.28,0,3.28,2.19,7.65,20.76,1.09,1.09,8.74,43.71,3.28,3.28,7.65,34.97,1.09,1.09,3.28,2.19,182.51,0,3.28,0,0,2.19,1.09,1.09,133.33,2.19,45.9
108-118,0,0,5.36,0,6.89,11.49,6.89,4.6,3.83,32.94,12.26,0,0.77,1.53,6.89,42.13,0,1.53,14.55,30.64,2.3,0.77,12.26,17.62,0.77,0,4.6,2.3,95.75,0,3.83,1.53,0,1.53,0.77,3.06,94.21,0.77,58.98
120,0,0,5.88,3.92,0,15.68,3.92,3.92,0,21.56,9.8,0,1.96,0,3.92,15.68,1.96,1.96,5.88,19.6,3.92,1.96,11.76,5.88,0,0,9.8,0,82.31,0,7.84,0,0,0,0,0,90.15,0,15.68
