stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,37,0,0,0,3,1,4,0,0,0,0,2,1,1,1,1,0,0,0
 24-34,0,0.82,0,2.46,0.82,0,0,0,0,0,0,0.82,0,0,0,73.06,0,0,0,12.31,0,4.93,0,0,0,0,0.82,0,15.6,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0,0,1.61,0,0,0,12.09,0,0,0,0,0,2.42,0,0,0,0,0,0,10.47,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0.57,0,0.57,0,0,0,12.05,0,1.15,1.15,0,0,2.87,0,0,0,0,0,0,3.44,0,0,1.72,0,0
 60-70,0,0.98,0,3.93,0,0,1.96,0,0,0,0,0.98,0,0,0,17.67,0,0.98,0.98,0,0,7.85,0,0,0,0,0,0,5.89,0,0,0.98,0,0
 72-82,0,1.96,0,3.93,0,0,0,0.98,0,0,0,7.85,0,0.98,0,33.38,0,0,2.94,0.98,0,1.96,0,0.98,0,0,0,0,5.89,0,0,0.98,0,0
 84-94,0,0,1.06,5.31,0,0,3.19,0,2.12,0,0,10.62,0,0,0,80.71,0,0,1.06,0,0,0,0,1.06,0,0,0,0,31.86,0,0,1.06,0,0
 96-106,0,1.09,1.09,12.02,0,1.09,1.09,0,0,0,1.09,17.49,0,0,0,61.2,2.19,0,3.28,1.09,0,3.28,0,0,1.09,0,1.09,0,15.3,0,0,0,1.09,0
108-118,0,0,1.53,3.83,0.77,0,0.77,0.77,0,0,0,19.15,0,0,1.53,47.49,0,0,0.77,2.3,0.77,1.53,0,0.77,0,0,0.77,0,25.28,0,0,0.77,0.77,0
120,0,0,0,9.8,0,0,0,0,0,0,0,17.64,0,0,0,25.48,1.96,1.96,0,0,0,1.96,1.96,1.96,0,0,0,0,11.76,0,0,0,0,1.96
