stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,periderm,slow.muscle,spinal.cord
 14-21,0,0,1,0,1,0,10,0,0,1,2
 24-34,0,0.82,0.82,0,0,0.82,16.42,0,0,0,6.57
 36-46,0,0.81,1.61,0,0,0,24.98,0,0,0,4.03
 48-58,0,3.44,7.46,0,0,0,12.62,0.57,0,0,2.3
 60-70,0.98,6.87,6.87,0,0,0,12.76,0,0,0,6.87
 72-82,0,3.93,8.83,0.98,1.96,0,1.96,0,0,0,2.94
 84-94,0,4.25,2.12,0,1.06,0,6.37,0,0,0,2.12
 96-106,0,2.19,3.28,0,1.09,0,3.28,0,1.09,0,1.09
108-118,0,1.53,2.3,0,0,0,4.6,0,0,0,0
120,0,1.96,1.96,0,0,0,0,0,0,0,0
