stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,28,0,1,0,0,0,1,1,1,0,1,22,0,0,1,0,0
 24-34,0,0,2.46,1.64,0.82,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0.82,1.64,4.93,0,0,0.82,197.83,0,13.13,0,0,0,0.82,0,4.93,0,0,85.37,0,0,3.28,0,3.28
 36-46,0,0,1.61,0,0.81,0,0,7.25,0,0.81,0,2.42,0.81,0,0,0,0,0,0.81,0,1.61,5.64,0,0,1.61,430.23,0.81,13.7,0.81,0,0,0.81,0.81,0.81,0,0,133.74,0,0,0.81,0,5.64
 48-58,0,0,0,0,2.3,0,0,58.53,1.15,0,2.3,8.61,0,0,0.57,0.57,0,0,0,0,0.57,7.46,0,0,3.44,729.31,1.15,6.31,1.72,0,0,1.72,0,1.72,0.57,0,145.75,0,0,1.15,0,10.33
 60-70,0,0,1.96,0,0.98,0,0,138.39,0,0.98,0.98,28.46,0.98,0,0,3.93,0,0.98,0,0.98,0.98,37.3,0,0,1.96,1233.77,0,8.83,0.98,0,0.98,0,0,1.96,0,0,177.66,0,0.98,5.89,0.98,10.8
 72-82,0,0,1.96,0,5.89,0,0,241.49,0,0,0,30.43,4.91,0,0,2.94,0,0.98,1.96,0.98,0,46.14,2.94,0.98,0.98,1190.76,0,12.76,4.91,0,0,1.96,0,0.98,0.98,0,103.07,0,0,5.89,2.94,7.85
 84-94,0,0,3.19,0,9.56,4.25,0,160.37,1.06,1.06,2.12,32.92,11.68,1.06,0,5.31,0,1.06,0,0,1.06,41.42,0,2.12,5.31,625.54,2.12,8.5,4.25,0,0,4.25,0,2.12,0,0,50.98,2.12,0,8.5,2.12,10.62
 96-106,0,0,3.28,0,6.56,0,0,125.68,0,0,1.09,33.88,9.84,0,1.09,5.46,1.09,1.09,1.09,0,0,37.16,1.09,2.19,2.19,538.77,1.09,16.39,5.46,0,0,1.09,0,1.09,0,0,33.88,1.09,0,10.93,2.19,13.11
108-118,0,0,1.53,0.77,7.66,0,13.02,85.79,0.77,0,0,31.4,13.02,0,0.77,4.6,0.77,2.3,1.53,0.77,1.53,27.57,0.77,0.77,0,553.03,1.53,11.49,4.6,0,0.77,0.77,0,0.77,0,0,19.15,1.53,0.77,9.96,0,19.15
120,0,0,1.96,3.92,7.84,0,1.96,107.79,1.96,0,0,33.32,19.6,0,0,3.92,0,1.96,1.96,3.92,0,19.6,0,0,1.96,687.88,0,19.6,5.88,0,3.92,3.92,1.96,0,0,0,23.52,0,1.96,13.72,1.96,7.84
