stage,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,31,0,0,0,14,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,88.65,0.82,0,3.28,13.95,0,0
 36-46,0.81,7.25,0.81,3.22,0,0,0,0,0,108.77,3.22,0,1.61,24.17,0,0
 48-58,1.15,29.84,0,1.72,0,0,0.57,0,0,133.12,0,0,0,26.97,0,0
 60-70,0,50.06,0,2.94,0,0,0,0,0.98,141.34,0.98,0,1.96,20.61,0,0.98
 72-82,0.98,17.67,0,1.96,0,0,0.98,0.98,0,96.2,0,0,0.98,7.85,0,0
 84-94,0,11.68,0,5.31,0,0,0,0,0,42.48,0,1.06,2.12,3.19,0,0
 96-106,0,9.84,0,2.19,1.09,0,0,0,0,28.41,1.09,0,0,1.09,0,0
108-118,0.77,6.89,0,0,0,0,0,0,0,26.81,0.77,0,0,2.3,0.77,0
120,0,7.84,0,0,0,0,0,0,0,41.16,0,0,0,0,0,0
