stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,1,0,1,4,0,0,0
 24-34,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,12.31,0,0.82,0.82,0,4.1,0,2.46,0,2.46,0,0,0
 36-46,0.81,0,0,0.81,0,0.81,0,0,0,0,3.22,1.61,11.28,0,0.81,0,0,2.42,0,0,0,2.42,0,0,0
 48-58,0.57,0,0,5.16,0,1.15,0,0,0,0,5.16,0,9.18,0,0,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,3.93,0,4.91,0,0,0,0,4.91,0,7.85,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,13.74,0,13.74,0,0,0,0.98,7.85,0,14.72,0,0.98,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,1.06,1.06,1.06,9.56,1.06,4.25,0,0,0,0,8.5,0,8.5,0,0,1.06,0,3.19,0,0,0,2.12,0,0,0
 96-106,0,2.19,0,3.28,2.19,2.19,1.09,1.09,1.09,0,4.37,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,11.49,0.77,4.6,0.77,0,0.77,0,1.53,0,3.83,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,5.88,0,0,0,0,3.92,0,7.84,0,1.96,0,0,1.96,0,0,0,0,0,0,0
