stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,950.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,31.54,0,26.29,0,0,0,49.95,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,536.26,15.77,0,0,173.5,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.67,12.59,0,0,94.41,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,55,6,0,33,1,0,8,3,0,1,0,0,0,0,0,0,37,0,0,24,378,6,2,4,9,0,3,1,41,2,3,58,125,0,0,6,0,0
 24-34,0,0,0.82,2.46,14.78,0.82,0,43.51,0,0,8.21,1.64,0,0,0,0.82,0.82,0,1.64,0.82,39.4,0,0.82,20.52,525.35,1.64,3.28,6.57,0.82,0.82,1.64,0,0,0,0,7.39,107.53,0,0,10.67,0,0.82
 36-46,0,0,0,0.81,6.45,1.61,0,92.65,0,1.61,32.23,0,0,2.42,0.81,0,0,0.81,0,0.81,69.29,0,0.81,25.78,452.79,0,4.83,2.42,0,0,0.81,0,0,0.81,0,0.81,103.13,0,0,2.42,0,0.81
 48-58,0,0,0,0,8.61,0,0,122.22,0,3.44,36.72,0,0,1.72,0.57,0,0,0.57,0,0.57,74.02,0,3.44,14.35,371.25,0.57,1.72,0.57,0,0,0.57,0,0,0,0.57,0,79.19,0,0.57,1.72,0.57,0
 60-70,0,0,0,0,7.85,0,0,147.23,0,1.96,35.33,0.98,0,0.98,0,0,0.98,0,0,0,96.19,0,3.93,6.87,396.53,0.98,0.98,2.94,0,0.98,1.96,0,0,0,0,0,64.78,0,2.94,3.93,0.98,0.98
 72-82,0,0,1.96,0,7.85,3.93,0,118.78,0,4.91,34.36,0,0,1.96,1.96,0,1.96,0.98,0,0,114.85,0.98,5.89,6.87,369.1,0,1.96,3.93,0,0,0.98,0,0,0,0,0,44.17,0.98,0,5.89,2.94,0
 84-94,0,0,1.06,0,12.74,0,0,77.53,1.06,1.06,38.23,0,0,1.06,3.19,2.12,1.06,3.19,2.12,0,81.78,0,5.31,14.87,158.24,1.06,1.06,7.43,0,0,0,0,0,0,0,0,20.18,2.12,3.19,6.37,2.12,0
 96-106,0,0,0,0,7.65,0,0,54.64,1.09,3.28,24.04,4.37,0,2.19,1.09,0,1.09,1.09,1.09,1.09,66.66,1.09,2.19,9.84,128.96,0,1.09,5.46,0,1.09,3.28,0,0,0,0,0,5.46,1.09,3.28,6.56,1.09,1.09
108-118,0,0,0.77,0,8.43,3.06,0.77,53.62,1.53,4.6,25.28,0.77,0,0.77,1.53,2.3,1.53,1.53,0,0.77,68.17,0.77,1.53,12.26,168.51,0,3.06,9.19,0,1.53,0.77,0,0,0,0,0,8.43,0.77,3.06,4.6,1.53,3.06
120,0,0,0,0,13.72,0,0,39.2,0,3.92,15.68,0,0,1.96,1.96,1.96,1.96,0,3.92,0,70.55,0,7.84,7.84,158.74,3.92,3.92,3.92,0,0,1.96,0,0,0,0,0,1.96,0,1.96,5.88,3.92,3.92
