stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1923.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1305.61,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,30.65,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,10.51,0,31.54,0,0,63.09,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,415.34,23.66,0,0,155.09,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,18.88,0,15.73,0,3.15,34.62,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,377.64,15.73,0,0,166.79,0,0,0,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,26,7,7,0,0,5,1,0,0,0,0,0,0,0,0,12,0,0,14,153,0,1,1,4,0,1,1,24,3,1,15,59,0,0,5,0,0
 24-34,0,0,0,0,15.6,0.82,31.19,0.82,0,4.1,0,0,1.64,0,1.64,0.82,3.28,0,0,26.27,0,0,15.6,323.42,1.64,1.64,3.28,0,0,6.57,0.82,0,0.82,0,4.93,77.16,0,0,9.03,0,0
 36-46,0,0,0,0,6.45,0,103.93,0,4.03,20.95,0,0,0.81,1.61,0.81,0,0,0,0.81,48.34,0,0,18.53,320.66,0.81,3.22,2.42,0,0,7.25,0,0,0.81,0,0,98.29,0,0,12.09,0,2.42
 48-58,0,0,0,0,5.16,0,95.83,0.57,2.3,32.13,0.57,0,0.57,0.57,0,1.15,0.57,0.57,0,49.35,0.57,1.15,6.89,133.12,0.57,0.57,1.72,0,0,6.89,0,0,0,0,0,46.48,0,0.57,6.31,0,2.3
 60-70,0,0,0,0,2.94,1.96,139.38,1.96,1.96,29.45,0.98,0,0.98,1.96,0,0,0.98,0.98,0,66.74,1.96,1.96,4.91,178.64,1.96,1.96,0.98,0,0,6.87,0,0,0.98,0.98,0,28.46,0,0.98,3.93,0.98,2.94
 72-82,0,0,1.96,0,6.87,9.82,55.95,0.98,5.89,34.36,0.98,0,0.98,3.93,0,0,0.98,0,0.98,54.97,0.98,2.94,5.89,90.31,0,1.96,1.96,0,0,11.78,0,0,0.98,0,0,7.85,1.96,1.96,8.83,0.98,0.98
 84-94,0,0,1.06,0,5.31,2.12,47.79,1.06,3.19,24.43,3.19,0,2.12,7.43,0,1.06,0,3.19,3.19,55.23,0,8.5,4.25,49.92,1.06,2.12,0,0,0,20.18,0,0,0,0,0,7.43,1.06,2.12,8.5,3.19,1.06
 96-106,0,0,1.09,0,7.65,10.93,17.49,1.09,2.19,16.39,2.19,0,1.09,6.56,1.09,2.19,1.09,1.09,1.09,55.74,2.19,1.09,5.46,59.01,3.28,0,1.09,0,1.09,21.86,1.09,0,0,0,0,5.46,1.09,1.09,9.84,0,2.19
108-118,0,0,0,0,10.72,6.89,23.74,3.83,3.06,16.09,3.06,0,0,4.6,1.53,0.77,0.77,1.53,0,33.7,2.3,3.83,4.6,45.19,0.77,0,2.3,0,0,20.68,0,0,0,0,0,0.77,2.3,0,6.13,1.53,2.3
120,0,0,0,0,7.84,5.88,15.68,0,0,19.6,7.84,0,1.96,7.84,5.88,0,0,0,0,21.56,0,3.92,5.88,54.87,3.92,0,5.88,0,0,17.64,0,0,0,0,0,1.96,0,1.96,13.72,1.96,0
