stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,118.6,1884.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,24.52,852.02,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0
  7-9,10.51,10.51,34.17,0,0,0,52.57,0,0,0,18.4,0,0,0,0,0,0,0,0,0,523.11,10.51,0,0,181.38,0,0,0,0,0,0,0,0
 10-12,0,15.73,31.47,0,3.15,0,53.5,0,0,0,9.44,0,0,0,0,0,0,0,0,0,440.58,12.59,0,0,188.82,0,6.29,0,9.44,9.44,0,0,0
 14-21,0,0,4,43,11,0,25,0,3,1,0,0,3,0,0,0,22,0,0,19,196,6,2,1,3,29,1,20,1,11,61,3,0
 24-34,0,0,0,4.1,0.82,0,79.62,0,6.57,0,0,0,1.64,0,0.82,0.82,33.66,0,0,8.21,424.38,1.64,1.64,1.64,0,9.03,0,0.82,0,0.82,85.37,5.75,0.82
 36-46,0,0,0,1.61,0.81,0,152.27,0,2.42,0,0,0,0,0.81,0,0,25.78,0,0,5.64,278.76,0,3.22,0,0,1.61,0,0,0,0,57.2,2.42,0.81
 48-58,0,0,0,1.72,1.72,0,168.12,0.57,8.61,0,0,0.57,0.57,0.57,0,0.57,18.36,0,0.57,3.44,95.83,0,1.15,0,0,0.57,0,0,0,0,12.62,1.15,0.57
 60-70,0,0,0,4.91,0,0,130.54,0,5.89,0.98,0,0,0,0,0,0,18.65,0,0.98,0.98,66.74,0,0,0,0,0.98,0,0,0,0,4.91,0.98,0
 72-82,0,0,0,0.98,1.96,0,40.25,0,2.94,1.96,0,0.98,0,0.98,0,0,14.72,0,1.96,3.93,38.28,0,0.98,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,3.19,1.06,0,48.85,0,5.31,3.19,0,0,0,0,0,0,13.81,1.06,1.06,3.19,37.17,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,13.11,0,2.19,0,0,2.19,1.09,0,0,0,6.56,0,0,1.09,16.39,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,6.13,0,23.74,0,6.13,1.53,0,3.83,0,0,0.77,0,6.13,0,0,1.53,20.68,0,0,0,0,1.53,0,0,0.77,0,0,0.77,0
120,0,0,0,5.88,9.8,1.96,41.16,1.96,9.8,0,0,1.96,3.92,0,0,0,5.88,0,1.96,0,64.67,0,0,0,0,1.96,0,0,0,0,0,0,0
