stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1103.33,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,39.43,0,2.63,42.06,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,502.08,7.89,0,0,162.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,3.15,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,311.55,9.44,0,0,97.56,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,8,0,9,0,0,0,4,0,0,0,0,1,0,0,0,0,17,0,5,199,2,3,2,3,0,0,10,1,2,12,71,0,0,0,0,0
 24-34,0,0,1.64,2.46,3.28,0.82,28.73,0,0,0,9.85,0.82,0,0,0,0,0.82,0.82,0.82,0,26.27,0,12.31,425.2,0.82,4.1,4.1,0,0,1.64,0,0,0,2.46,87.83,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0,66.06,0,0,0,27.39,0.81,0,0.81,0,0,0,0.81,1.61,0,33.03,0,3.22,462.45,0.81,2.42,4.83,0,0,0,0,0,0,0,98.29,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,99.27,0,0.57,0.57,32.71,0.57,0,1.72,0,0,0.57,1.15,0,0.57,55.66,1.15,8.03,436.67,0,4.59,3.44,0,0,1.15,0,0,0.57,0,114.19,0,0,1.15,0,1.72
 60-70,0,0,0,0,6.87,0,85.39,0.98,0.98,4.91,35.33,0,0,0,0,0,0,0.98,0,0,43.19,0.98,8.83,413.22,0,2.94,1.96,0,0,0.98,0,0.98,0,0,62.82,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,85.4,0,1.96,2.94,47.12,0,0,0,4.91,0.98,0,1.96,0,0,78.53,0.98,6.87,333.77,0,2.94,3.93,0,0,2.94,0,0,0,0,23.56,0,1.96,6.87,1.96,0
 84-94,0,0,0,0,4.25,1.06,66.91,0,1.06,1.06,18.05,0,0,2.12,0,0,1.06,1.06,1.06,0,32.92,1.06,7.43,147.62,1.06,3.19,4.25,0,1.06,1.06,0,0,0,0,23.36,1.06,0,4.25,4.25,0
 96-106,0,0,0,0,3.28,2.19,39.34,0,1.09,2.19,16.39,0,0,0,0,0,2.19,1.09,0,0,33.88,0,1.09,127.86,0,4.37,8.74,0,1.09,4.37,0,0,0,0,12.02,1.09,0,3.28,3.28,0
108-118,0,0,0.77,0,5.36,0,24.51,0,0,0.77,14.55,0,0,0,1.53,0.77,0.77,0.77,1.53,0.77,26.04,1.53,2.3,136.34,0,0,1.53,0,1.53,0.77,0,0,0.77,0,3.83,0.77,0.77,0,3.83,0
120,0,0,0,0,9.8,0,41.16,0,1.96,1.96,25.48,0,0,1.96,0,0,1.96,0,0,0,35.28,1.96,3.92,121.51,1.96,3.92,9.8,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0,5.88,1.96
