stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2688.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,2200.54,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,30.65,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,18.4,0,23.66,0,0,0,36.8,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,483.68,18.4,0,0,181.38,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,9.44,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,10,0,0,0,0,11,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,3.28,0,0.82,0.82,0,0.82,0.82,0.82,0.82,0.82,0,0,0,0.82,0.82,0.82,0,1.64,13.13,0.82,4.1,1.64,0,80.44,0,0,4.1,0,1.64,0,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,0,4.83,0,0,0.81,1.61,0,0,1.61,0.81,0.81,0,1.61,0.81,4.03,9.67,0.81,0,1.61,35.45,0,0.81,0,0,113.6,0,0,4.83,0,12.09,0,0,5.64,0,2.42
 48-58,0,0,0,0.57,1.72,0,0,6.31,0,1.15,1.15,1.72,0.57,0,1.15,1.72,0,0,1.15,0,3.44,17.21,0,0.57,1.72,28.12,0,0.57,0,0,63.69,0,0,0.57,0,12.62,0,0,3.44,0,3.44
 60-70,0,0,0,0,3.93,0,0,15.7,0,2.94,1.96,9.82,0.98,0,0,5.89,0.98,1.96,0.98,0.98,0.98,19.63,0,0,0.98,50.06,0.98,0,0,0,109.93,0,0,4.91,0,14.72,0,0,6.87,0,3.93
 72-82,0,0,0,0,13.74,0.98,0,20.61,0,2.94,4.91,18.65,3.93,0.98,0.98,4.91,3.93,0,1.96,0.98,0.98,26.5,3.93,0.98,3.93,78.53,0.98,3.93,2.94,0,111.91,0,0,2.94,0,11.78,1.96,2.94,11.78,0.98,0
 84-94,0,0,1.06,0,30.8,0,0,13.81,0,3.19,0,15.93,8.5,0,0,10.62,6.37,0,1.06,3.19,0,32.92,5.31,0,2.12,49.92,0,2.12,3.19,0,330.29,0,0,4.25,1.06,9.56,1.06,0,10.62,3.19,4.25
 96-106,0,0,0,0,20.76,1.09,0,14.21,1.09,8.74,0,20.76,8.74,0,1.09,6.56,14.21,3.28,1.09,2.19,1.09,27.32,2.19,3.28,1.09,34.97,1.09,3.28,2.19,0,232.78,0,0,3.28,0,3.28,0,0,2.19,1.09,2.19
108-118,0,0,0.77,0,29.87,3.06,0.77,20.68,0.77,7.66,0.77,9.19,18.38,0,0.77,3.06,7.66,4.6,2.3,3.83,1.53,19.92,6.89,0.77,3.06,51.32,0.77,0,0.77,0,184.6,0,0,7.66,0,5.36,0.77,1.53,6.89,0.77,0
120,0,0,0,0,48.99,0,0,5.88,0,11.76,1.96,17.64,13.72,0,0,11.76,3.92,0,0,0,0,17.64,3.92,1.96,0,64.67,1.96,0,0,0,184.22,0,0,5.88,0,11.76,0,0,7.84,1.96,0
