stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,1,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0.82,4.1,0,0,0,2.46,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0.81,2.42,0,0.81,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,2.94,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,3.93,0.98,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.31,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,68.85,0,1.09,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,69.7,0,0,0,0,0.77,2.3,0.77,0.77,0,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,5.88,143.06,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0
