stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,18.88,0,3.15,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,270.64,6.29,0,0,151.05,0,9.44,3.15,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,1,0,2,66,4,0,14,0,1,0,11,3,0,2,0,1,0,0,0,0,22,0,0,9,160,5,5,3,4,0,28,1,39,3,0,31,65,0,0,7,0,0
 24-34,0,0,1.64,45.97,1.64,0,22.16,0,5.75,0.82,7.39,0.82,0.82,3.28,7.39,0.82,0,1.64,0,0.82,59.92,2.46,0,14.78,205.21,0.82,7.39,2.46,0,0,70.59,0,0,0.82,0,8.21,47.61,0,0,22.16,0,2.46
 36-46,0,0,0,28.2,0,0,39.48,0,4.83,1.61,13.7,0.81,0,4.83,8.06,0,0.81,0.81,0.81,2.42,75.73,0.81,0.81,20.14,96.68,0,4.83,7.25,0,0,40.28,0.81,0,3.22,0.81,0,32.23,0,0,15.31,0,10.47
 48-58,0,0,0,15.49,0,0,64.84,0,5.16,8.61,22.38,0,0.57,3.44,10.9,0,0,1.72,0.57,2.3,78.61,0.57,2.3,14.92,68.86,2.3,4.59,6.31,0,0,25.82,0,0,1.15,0,0,15.49,0,1.15,12.62,0,7.46
 60-70,0,0,0,32.39,0,0,80.48,0,16.69,6.87,28.46,0.98,0,1.96,5.89,0,0,0.98,0,2.94,103.06,3.93,1.96,12.76,59.87,0.98,4.91,3.93,0,1.96,19.63,0,0,0.98,0,0,7.85,0.98,0.98,12.76,0,6.87
 72-82,0,1.96,0.98,23.56,0,0,59.88,0,11.78,9.82,49.08,0.98,0,4.91,14.72,0,0.98,2.94,0,3.93,169.83,0,5.89,14.72,47.12,0,5.89,5.89,0,1.96,20.61,0,0,0,0,0,11.78,0.98,5.89,16.69,3.93,5.89
 84-94,0,2.12,0,48.85,0,0,61.6,0,23.36,9.56,30.8,2.12,0,9.56,19.12,1.06,2.12,4.25,2.12,2.12,99.83,2.12,5.31,6.37,24.43,2.12,6.37,3.19,0,1.06,58.41,0,0,4.25,0,0,8.5,1.06,3.19,10.62,4.25,6.37
 96-106,0,0,0,45.9,0,0,34.97,0,12.02,4.37,32.79,6.56,1.09,6.56,24.04,2.19,0,6.56,1.09,4.37,91.8,1.09,1.09,10.93,34.97,3.28,17.49,14.21,0,5.46,53.55,0,0,1.09,1.09,0,4.37,0,3.28,28.41,2.19,7.65
108-118,0,0,0,52.85,1.53,0.77,29.11,0,22.98,5.36,24.51,9.96,0,0.77,20.68,0,4.6,3.83,2.3,9.19,76.6,0.77,2.3,7.66,26.04,1.53,3.83,6.13,0,0.77,50.55,0,0,0,0,0,3.83,0.77,3.83,17.62,3.06,12.26
120,0,0,0,48.99,3.92,0,21.56,1.96,25.48,1.96,21.56,9.8,0,0,21.56,0,1.96,0,0,3.92,58.79,0,1.96,9.8,33.32,1.96,3.92,0,0,0,47.03,0,0,0,0,0,3.92,0,0,7.84,7.84,0
