stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,65,1,1,2,2,0,0,4,1,5,25,0,0,0,0
 24-34,0,0,7.39,0.82,59.1,0.82,2.46,5.75,0,0,0.82,0,0,1.64,0.82,0.82,0,30.37,0.82,4.93,363.64,1.64,1.64,4.1,0,0,4.93,0,0.82,0.82,70.59,0,8.21,0,0
 36-46,0,0.81,8.86,6.45,97.49,0,0,4.83,0.81,0,0,0.81,0,0.81,0,0.81,1.61,21.75,0,4.83,203.03,1.61,0.81,0,0,0,7.25,0,0.81,0,49.15,0,4.03,0,0.81
 48-58,0,0,8.03,4.59,129.68,1.15,0,7.46,1.15,0,0.57,1.15,0.57,0,0.57,0.57,0.57,15.49,1.72,1.72,135.99,0.57,0.57,1.15,0,0,1.15,0,0,0,14.92,0,0.57,0,0
 60-70,0.98,0,7.85,0,134.47,0.98,1.96,10.8,0.98,0.98,0,1.96,0.98,1.96,0.98,0,0,38.28,0.98,0.98,110.91,0,0.98,1.96,0,0,1.96,0,0.98,0,6.87,0,5.89,0,0
 72-82,0,0,1.96,0,33.38,0,0.98,4.91,0,0,0,0,0,0,0,0,0,18.65,0.98,2.94,50.06,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,5.31,1.06,37.17,0,1.06,3.19,5.31,0,1.06,3.19,0,2.12,0,0,1.06,14.87,1.06,5.31,37.17,1.06,1.06,1.06,0,0,2.12,0,0,0,0,0,2.12,1.06,0
 96-106,0,0,2.19,0,15.3,1.09,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,3.28,0,2.19,14.21,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,1.53,2.3,15.32,0,0,4.6,0.77,0,0,4.6,0,0.77,0,0.77,0,6.89,1.53,2.3,19.15,0.77,0,0,0,0,3.06,0,0,0,2.3,0,0.77,0,0
120,0,0,1.96,5.88,50.95,0,0,5.88,1.96,0,0,9.8,1.96,0,0,1.96,0,5.88,1.96,1.96,66.63,1.96,0,1.96,0,1.96,1.96,0,0,0,0,0,7.84,0,0
