stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,26.36,711.61,0,0,0,0,0,0,26.36,0,0
  5-6,42.91,404.56,0,0,0,18.39,0,6.13,6.13,0,0
  7-9,10.51,5.26,5.26,26.29,13.14,194.52,2.63,76.23,0,0,0
 10-12,0,15.73,18.88,18.88,0,154.2,0,69.23,0,9.44,3.15
