stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,6,2,0,1,0,0,0,0,0,0,8,0,0,17,3,0,0,0,0,0,15,48,1,0,0
 24-34,0,0,3.28,0.82,0,0.82,0,0,0,0,0,0.82,13.13,0.82,0,0.82,7.39,0,0,0,0,0,0,5.75,2.46,0,0
 36-46,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,1.61,0,0.81,0.81,12.89,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,10.8,0,0,0,0.98,0,3.93,0,0,0.98,0,0,0.98,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,31.41,0,0,0,5.89,0,7.85,0,0,0.98,4.91,0,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,21.24,0,0,0,3.19,0,11.68,0,1.06,1.06,1.06,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,20.76,0,0,0,1.09,1.09,15.3,0,0,0,0,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,1.09
108-118,0,0,7.66,0,0,0,0,1.53,4.6,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
