stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,30.37,0,0,0.82,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,0,0,0,4.03,0.81,0,0.81,0,0,0.81,0,0,0,0.81,0,0,0.81,32.23,0,0.81,0.81,0,0,0.81,0,8.86,0,0.81,0
 48-58,0,0,0.57,0,1.15,0,12.05,0.57,0.57,2.87,0,0,0,0,0,0,4.02,0,0,0,18.36,0,0,0,0,0.57,0,0,6.31,0,0,0
 60-70,0,0,0.98,0,0,0,10.8,0,0,1.96,0,0,0,0,0.98,0,3.93,0.98,0.98,1.96,14.72,0,2.94,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0.98,10.8,0,0,0.98,0.98,0,0.98,0,0,0,6.87,0,0,0,11.78,0,1.96,0.98,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,2.12,0,0,0,5.31,1.06,0,7.43,2.12,0,0,1.06,0,0,4.25,0,0,0,8.5,0,0,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,2.19,0,0,0,6.56,0,0,5.46,3.28,1.09,0,0,0,0,6.56,0,0,0,6.56,0,0,2.19,0,0,0,0,2.19,1.09,1.09,0
108-118,0,0,0,0,0,0,4.6,0,0,1.53,4.6,0,0,0.77,1.53,1.53,3.83,0,0,0,5.36,0,0.77,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,3.92,0,0,0,7.84,0,3.92,1.96,0,0,0,0,1.96,0,0,0
