stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,13.14,0,0,84.12,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,594.09,10.51,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,25.18,0,3.15,100.7,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,972.41,75.53,0,0,280.08,0,0,6.29,9.44,28.32,0,0,3.15,0,0,0,0
 14-21,0,0,0,4,108,25,44,0,0,0,140,4,1,1,0,0,0,0,0,0,54,0,0,30,548,34,0,40,19,0,0,4,94,115,2,77,434,0,0,0,0
 24-34,0,0,0.82,2.46,34.48,0.82,31.19,0,1.64,5.75,147.75,1.64,0,0.82,0,0,0,7.39,1.64,0.82,75.52,0,0,35.3,375.95,4.93,12.31,29.55,0,0,0.82,0,0,73.06,0.82,18.06,334.91,0,1.64,0,0
 36-46,0,0,0.81,0,10.47,0,16.11,0,0.81,6.45,92.65,0.81,0,0,0.81,0,0,5.64,0.81,0,52.37,0,0.81,15.31,171.61,2.42,8.86,21.75,0,0,0.81,0.81,0,41.89,0,0,186.92,0.81,0,0,0
 48-58,0,0,0.57,0,5.74,0,20.08,0,0,4.02,81.48,2.3,0,0.57,0,0.57,0,5.74,0.57,0,105.58,0.57,1.15,16.07,69.43,0,10.9,14.92,0,0,1.15,0,0,16.64,0,0,152.06,0,0,0,0.57
 60-70,0,0,0,0,3.93,0,10.8,0,0,1.96,59.87,0.98,0,0,0,0.98,0,8.83,0.98,0,110.91,0,0.98,11.78,37.3,0,11.78,23.56,0,0.98,0.98,0,0,4.91,0,0,60.85,0,0,0.98,0
 72-82,0,0,1.96,0,3.93,0.98,18.65,0,0,1.96,68.72,3.93,0,0,0,0.98,0.98,13.74,2.94,0,98.17,0,1.96,9.82,40.25,0,24.54,43.19,0,0,0.98,0,0,10.8,0,0,31.41,1.96,0.98,2.94,0
 84-94,0,0,5.31,2.12,11.68,0,18.05,0,0,2.12,53.1,3.19,0,0,0,2.12,0,15.93,3.19,0,92.4,0,2.12,5.31,35.05,1.06,31.86,47.79,0,0,1.06,1.06,0,12.74,0,0,35.05,3.19,2.12,4.25,0
 96-106,0,0,2.19,3.28,2.19,1.09,14.21,1.09,1.09,2.19,38.25,8.74,0,0,0,2.19,0,17.49,1.09,0,50.27,2.19,1.09,8.74,29.51,0,40.44,49.18,0,0,0,0,0,18.58,0,0,26.23,1.09,0,1.09,0
108-118,0,0,2.3,1.53,4.6,0,8.43,0,0,0.77,33.7,3.83,0,0,2.3,0,0,16.09,0.77,0,29.11,0,0,6.89,20.68,0,36.77,39.83,0,0,0.77,0,0,14.55,0,0,18.38,0,0.77,1.53,0
120,0,0,1.96,1.96,3.92,0,7.84,0,1.96,0,19.6,3.92,0,0,1.96,0,0,9.8,3.92,1.96,15.68,0,0,1.96,31.36,0,19.6,35.28,0,0,1.96,0,0,13.72,0,0,11.76,1.96,0,3.92,0
