stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0.82,0,6.57,0,0,0,0,0,0,0,1.64,0,0,27.91,0,0,0,0,0,1.64,0,7.39,0,0.82,0
 36-46,0,0,0,0,0,0,4.83,0,0,0.81,0,0,0,0.81,0.81,0,0.81,24.98,0,0,0,0,0,2.42,0,6.45,0,0,0
 48-58,0,0,0,0,0.57,0,12.05,0,0,1.72,0,0,0,0,1.15,0,0.57,17.21,0.57,0,0,0,0,0.57,0,2.3,0,0.57,0
 60-70,0,0,0,0,0,0,16.69,0,0,0.98,0,0,0,0,5.89,0,0.98,20.61,0,0,0,0,0,1.96,0,5.89,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,6.87,0,0,1.96,0,0,0,0,5.89,0,0.98,21.6,0,0.98,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,6.37,0,1.06,0,0,0,0,0,2.12,0,1.06,8.5,0,0,0,0,0,2.12,0,2.12,0,0,0
 96-106,0,0,1.09,0,0,0,2.19,0,0,0,0,1.09,0,0,1.09,1.09,0,8.74,0,1.09,2.19,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,1.53,4.6,0.77,0.77,1.53,0,0.77,0.77,0,0.77,0.77,0.77,11.49,0,0,0,0,0.77,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,0,1.96,0
